submission_id,where_drink
PABN1x,At home
8dpDDk,At a cafe
8dpDDk,At home
qA2y0O,At home
qA2y0O,At a cafe
qA2y0O,On the go
V0ELg6,At home
zKQ8Qg,At home
VZ1WYN,At home
jB98W1,At the office
jB98W1,At home
rlr82o,At a cafe
rlr82o,At home
rlr82o,At the office
rlr82o,On the go
QABNj7,At home
QABNj7,At the office
vNx8El,At home
jB98WY,At the office
jB98WY,At home
jB98WY,On the go
LdM4Op,At home
qbE8gG,At home
bl41zZ,At home
xdN8yk,At home
xdN8yk,At the office
rlr8LX,At home
rlr8LX,On the go
jB98ga,At home
pLPY01,At home
GrBODO,At home
7d97a0,At home
WApale,At home
WApale,At the office
0EjqlN,At home
0EjqlN,On the go
0EjqlN,At the office
oAV8dN,At home
0Ejqaj,At home
5dqaeZ,At home
5dqaeZ,At a cafe
g5N8v4,At the office
g5N8v4,At home
oAV8lb,At home
AlbMyz,At home
jB9871,At home
9dJA2E,At home
PABZBx,At the office
PABZBx,At home
DVvRWR,At home
dY2JDV,At home
dY2JDV,At a cafe
dY2JDV,At the office
bl41Y1,At home
bl41Y1,At the office
rlr8vR,At home
rlr8vR,On the go
xdN89d,At home
xdN89d,At a cafe
kYR8Jo,At home
YZz7xW,At home
RzBq29,At home
24x9DD,At a cafe
24x9DD,At home
rlr8k2,At home
rlr8k2,On the go
7d97ER,At home
GrBOBO,At home
42NlPr,At a cafe
42NlPr,At the office
42NlPr,On the go
42NlPr,At home
XeB6OP,At home
XeB6OP,On the go
XeB6OP,At the office
XeB6OP,At a cafe
VZ1W4y,At home
VZ1W4y,At the office
VZ1W4y,At a cafe
kYR8ve,At the office
kYR8ve,At home
YZz7oN,At the office
YZz7oN,At home
OABxYM,At home
OABxYM,At the office
OABxYM,On the go
xdN8lv,At the office
eBxgYk,At home
eBxgYk,At a cafe
RzBqj9,At home
1r2QGg,At home
pLPYZJ,At home
MAdj6k,At home
MAdj6k,At a cafe
OABxER,At home
BGbJ0K,At home
qbE8jO,At home
qbE8jO,At the office
kYR8ze,At the office
kYR8ze,At a cafe
GrBODQ,At the office
GrBODQ,At home
vNx8KD,At the office
vNx8KD,At home
oAV8VN,At home
VZ1Wxg,At the office
VZ1Wxg,On the go
VZ1Wxg,At home
24x9Oe,At home
24x9Oe,At a cafe
24x9Oe,On the go
24x9Oe,At the office
KMBrO8,At home
KMBrO8,At the office
WApa1v,At home
bl41gL,At home
bl41gL,At a cafe
bl41gL,At the office
EPbovB,On the go
ylq8e8,At home
ylq8e8,At the office
24x9ZL,At home
24x9ZL,At the office
MAdjGM,At home
24x9Zj,At home
rlr8kR,At the office
rlr8kR,At home
rlr8kR,At a cafe
g5N8pl,At the office
g5N8pl,At home
rlr8qN,At the office
ylq87g,At home
GrBO7Z,At home
NAB2Rj,At home
NAB2Rj,At a cafe
RzBqkj,At home
xdN86r,At home
9dJArQ,At the office
EPboa4,At home
WApaQN,At a cafe
42NlN5,At home
42NlN5,At a cafe
AlbM50,At a cafe
AlbM50,At the office
AlbM50,On the go
AlbM50,At home
QABNap,At the office
QABNap,On the go
QABNap,At home
dY2Jkd,At home
RzBqr9,At a cafe
RzBqr9,At home
lNl89W,At the office
PABZGB,At home
PABZGB,On the go
PABZGB,At a cafe
RzBqjj,At home
RzBqjj,On the go
RzBqjj,At a cafe
LdM4ov,At home
GrBO5k,At home
ZdRbWo,At the office
ZdRbWo,At home
AlbMQD,At home
AlbMQD,On the go
42NlqX,At the office
42NlqX,At home
24x9D9,At home
24x9D9,At the office
oAV81V,At home
QABNE7,At home
QABNE7,On the go
6dQ6QN,At the office
6dQ6QN,On the go
6dQ6QN,At home
KMBrkV,At home
g5N8NJ,At home
g5N8NJ,At a cafe
g5N8NJ,At the office
aBrpab,At a cafe
aBrpab,At the office
aBrpPq,At home
aBrpPq,At a cafe
bl41vZ,At home
oAV8kO,At home
oAV8kO,On the go
qbE8NG,At home
qbE8NG,At the office
eBxgoe,At the office
eBxgoe,At home
eBxgoe,At a cafe
aBrpkB,At the office
aBrpkB,At a cafe
aBrpkB,On the go
aBrpkB,At home
vNx8g0,At home
vNx8g0,At the office
vNx8g0,At a cafe
NAB2Ol,At home
NAB2Ol,On the go
NAB2Ol,At the office
GrBObk,At home
kYR8x1,At the office
kYR8x1,At home
g5N8z4,At home
lNl8zv,At a cafe
lNl8zv,At home
jB98z4,At home
jB98z4,At the office
RzBqVj,At home
BGbJ6Q,At the office
BGbJ6Q,At home
5dqagd,At the office
5dqagd,On the go
5dqagd,At home
QABN8Y,At home
24x9o9,At home
24x9o9,At the office
BGbJ9Q,At the office
BGbJ9Q,At a cafe
BGbJ9Q,At home
BGbJ9Q,On the go
PABZrV,At home
lNl84k,On the go
lNl84k,At home
rlr8YR,At home
zKQ8L0,At home
zKQ8L0,At the office
zKQ8L0,At a cafe
NAB2El,At home
NAB2El,On the go
NAB2El,At a cafe
9dJAMV,At home
YZz79J,At home
YZz79J,At a cafe
5dqaod,At home
GrBOgp,At home
dY2Jgo,At home
dY2Jgo,On the go
dY2Jgo,At the office
AlbMAe,At home
XeB6d4,At home
QABNX8,At home
1r2QBp,At home
1r2QBp,At the office
VZ1WY6,At home
VZ1WY6,At a cafe
LdM4Vv,At home
6dQ6MJ,At home
oAV8vx,At home
oAV8vx,At the office
oAV8gP,At home
EPboJ2,At the office
EPboJ2,At home
EPboJ2,On the go
MAdjVA,At the office
MAdjVA,On the go
MAdjVA,At home
EPboEX,At home
6dQ64k,At the office
6dQ64k,At home
6dQ64k,At a cafe
NAB240,At home
pLPYzB,At home
OABxEg,At home
NAB2gB,At home
NAB2gB,At the office
vNx8vQ,At home
vNx8vQ,At the office
LdM4yj,At home
qbE8k9,At home
qbE8k9,On the go
qbE8k9,At the office
qbE8v9,At the office
qbE8v9,At home
dY2J8d,At home
jB98Yx,On the go
rlr8gN,At home
rlr8gN,At the office
XeB6Ng,At home
OABx97,At home
OABx97,At a cafe
42NlEX,At home
42NlEX,At a cafe
LdM4al,At the office
ZdRbDB,At home
6dQ6Vk,At home
6dQ6Vk,At a cafe
6dQ6Vk,On the go
6dQ6Vk,At the office
8dpbVx,At home
6dQ65P,At home
1r2Q6l,At home
7d97MR,At home
7d97MR,On the go
ylq8GB,At a cafe
ylq8GB,At home
kYR8p1,At home
kYR8p1,At the office
8dpbgx,At home
8dpbgx,At the office
VZ1Wqg,At home
VZ1Wqg,At a cafe
WApaBa,At home
WApaBa,At a cafe
dY2J1q,At home
vNx8W0,At home
vNx8W0,At a cafe
5dqaOo,At a cafe
QABNWp,At home
ZdRbQo,At home
ZdRbQo,At the office
NAB2yB,At the office
oAV81e,At home
PABZYx,At a cafe
PABZYx,At home
PABZYx,At the office
PABZWb,At home
XeB6v4,At home
9dJAxQ,At home
DVvRE5,At home
DVvRE5,At a cafe
lNl87X,At home
lNl87X,On the go
eBxgye,At home
aBrpgq,At the office
aBrpgq,At home
OABxrR,At home
OABxrR,At the office
WApajv,At home
1r2QxQ,At home
1r2QxQ,At the office
AlbM9z,At home
AlbM9z,At the office
AlbM9z,At a cafe
8dpbWO,At the office
8dpbWO,At home
8dpbWO,On the go
8dpbWO,At a cafe
7d97zA,At home
24x9zV,At home
VZ1W9j,At home
VZ1W9j,At the office
rlr8YN,At home
rlr8YN,At the office
xdN80d,At home
xdN80d,At a cafe
1r2QgW,At home
EPbo64,At home
qbE877,At home
KMBrGV,At home
KMBrGV,At the office
6dQ6WY,At home
6dQ6WY,On the go
6dQ6WY,At a cafe
EPboA4,At home
PABZy5,At home
ZdRbgz,At the office
EPbo6r,At home
6dQ6zB,At home
LdM4Ey,At home
LdM4Ey,At a cafe
LdM4Ey,At the office
ylq8gg,At home
42NlOY,At home
42NlOY,At a cafe
MAdjPM,At home
8dpb5O,At home
1r2QRl,At home
1r2QRl,At the office
1r2QRl,On the go
1r2QRl,At a cafe
jB985Q,At home
J2kEBo,At home
eBxgvk,At home
eBxgvk,At a cafe
7d97jZ,On the go
7d97jZ,At a cafe
dY2JzK,At home
dY2JzK,On the go
PABZe5,At home
J2kEGo,At home
J2kEGo,At the office
ylq8zx,At home
WApapR,At the office
xdN8z5,At home
xdN8z5,At a cafe
xdN8z5,At the office
NAB2dj,At the office
NAB2dj,At home
ylq81x,At home
vNx8zD,At home
vNx8zD,At a cafe
vNx8zD,On the go
vNx8zD,At the office
oAV8zP,At home
oAV8zP,At the office
oAV8zP,At a cafe
oAV8zP,On the go
QABNkG,At home
8dpbDA,At a cafe
YZz760,At home
PABZqd,At the office
PABZqd,At a cafe
oAV8LX,At a cafe
oAV8LX,At the office
oAV8LX,On the go
XeB6Pd,At home
AlbMRB,At home
AlbMRB,At a cafe
jB98XR,At home
NAB2Zb,At a cafe
aBrpMy,At the office
aBrpMy,At home
OABxKK,On the go
OABxKK,At a cafe
pLPYlP,At home
pLPYlP,At a cafe
EPbooq,At a cafe
XeB6je,At home
PABZq0,At home
PABZq0,At the office
GrBOE2,On the go
GrBOE2,At home
GrBOE2,At a cafe
pLPYYZ,At home
GrBOVj,At home
DVvROb,At home
rlr8Z5,At a cafe
rlr8Z5,At the office
rlr8Z5,At home
rlr8Z5,On the go
KMBr2M,At home
KMBr2M,At the office
kYR8BJ,At home
aBrpJ9,At home
aBrpJ9,At a cafe
bl41a0,At home
bl41a0,At a cafe
bl41a0,At the office
RzBqyp,At home
1r2Q0M,At home
GrBOO2,At home
jB98V6,At home
jB98V6,On the go
QABNpg,At home
QABNpg,At the office
DVvR6j,At home
xdN8q9,At home
xdN8W9,At home
9dJAzX,At home
9dJAzX,At the office
rlr8ep,At the office
rlr8ep,At home
rlr8ep,On the go
rlr8ep,At a cafe
WApa4L,At home
WApa4L,At the office
WApa4L,On the go
WApa4L,At a cafe
lNl8pV,At home
9dJAbX,At home
9dJAbX,At a cafe
9dJAbX,On the go
zKQ8A1,At the office
zKQ8A1,At home
zKQ8A1,On the go
QABNP1,At home
pLPYEE,At home
GrBOMQ,At home
GrBOMQ,At a cafe
RzBqpQ,At home
24x9MM,At home
7d9rX0,At home
YZz72z,At a cafe
YZz72z,At home
42Nl0b,At home
lNl8JX,At home
xdN8kd,At a cafe
VZ1WWE,At home
bl4QV6,At the office
LdM4xG,At home
VZ1OLj,At the office
VZ1OLj,At home
KMBrrk,At home
5dqaWQ,At home
5dqaWQ,At the office
5dqaWQ,At a cafe
NAB22W,At the office
NAB22W,At home
eBxWZx,At home
eBxWZx,At a cafe
OABxOM,At home
lNl825,At the office
lNl825,At home
EPboy2,At home
EPboy2,At the office
EPboy2,At a cafe
LdM48z,At home
LdM48z,At the office
KMBKYX,At a cafe
KMBKYX,At home
KMBKYX,At the office
KMBKYX,On the go
NAB21W,At home
NAB21W,On the go
NAB21W,At the office
42NlMo,At home
42NlMo,At a cafe
BGbJv4,At a cafe
BGbJv4,At home
rlr8No,At home
24xGEe,At home
24xGEe,At the office
lNlkBN,At home
eBxWae,At home
WApavR,At home
WApavR,At the office
1r2o9p,At home
OABM7R,At home
aBrqOX,At home
aBrqOX,At a cafe
qbE1GG,At home
qbE1GG,At a cafe
qbE1GG,On the go
8dp4aP,At the office
8dp4aP,At home
0EjR7j,At home
YZz7EN,At home
OABxRk,At a cafe
OABxRk,At home
OABxRk,On the go
AlbMgN,At home
lNlk6k,At home
OABxWM,At home
OABxWM,At the office
OABxWM,On the go
xdN5Yy,At home
AlbMYB,On the go
AlbMYB,At home
AlbMYB,At a cafe
AlbMYB,At the office
ylq5Jg,At the office
VZ1WRj,At home
jB9Ala,At home
jB9Ala,At a cafe
YZzl4B,At the office
YZzl4B,At home
J2kvz4,At home
oAV8W5,At a cafe
oAV8W5,At the office
oAV8W5,At home
oAVLGe,At home
oAVLGe,On the go
KMBKlA,At home
KMBKlA,At a cafe
6dQEDY,At home
1r2o7Q,At home
1r2o7Q,At the office
1r2o7Q,At a cafe
1r2oVQ,At home
0EjR8y,At home
LdMLzp,At home
LdMLzp,At a cafe
LdML7p,At a cafe
LdML7p,At the office
LdML7p,At home
jB9Ab4,At home
aBrq4B,At the office
DVv6Nq,At home
DVv6Nq,None of these
DVv6pR,At home
rlrMON,At home
rlrMON,On the go
g5N6Ml,At home
NAB1oB,At the office
NAB1oB,At home
NAB1oB,At a cafe
VZ1Ojy,At home
VZ1Ojy,At a cafe
VZ1Ojy,On the go
dY2exq,At home
dY2exq,At a cafe
RzByo9,At home
rlrMoN,At the office
rlrMoN,At a cafe
rlrMoN,At home
XeBP4g,At the office
DVv6qN,At home
vNx5P0,At home
6dQEZk,At home
6dQEZk,At a cafe
qbE1d7,At a cafe
bl4QeL,At home
PABJ55,At home
aBrq9b,At home
LdMLPv,At the office
LdMLPv,On the go
LdMLPv,At home
LdMLPv,At a cafe
qbE1VY,At home
qbE1VY,At a cafe
oAVLEx,At the office
oAVLEx,At home
oAVLEx,At a cafe
PABJ1V,At the office
PABJ1V,At a cafe
PABJ1V,At home
0EjR6N,At a cafe
0EjR6N,At the office
0EjR6N,At home
BGbW75,At home
8dp4L5,At home
8dp4L5,At the office
GrBARZ,At home
rlrMBR,At home
J2kEvY,At home
GrBAve,At the office
GrBAve,At home
g5N6qO,On the go
g5N6qO,At home
J2kvOo,At the office
J2kvOo,At a cafe
J2kvOo,At home
GrBAlp,At home
7d9r2P,At home
1r2odl,At home
J2kvdR,At home
J2kvdR,At a cafe
jB9APx,At home
DVv6kZ,At home
DVv6kZ,On the go
xdN8Ok,At home
xdN8Ok,On the go
NAB1qO,At home
GrBA9Z,At a cafe
GrBA9Z,At home
bl4Qdg,At home
5dqPZo,At the office
5dqPZo,At home
J2kEyz,On the go
J2kEyz,At a cafe
J2kEyz,At home
J2kEyz,At the office
jB98j9,At home
jB98j9,At the office
DVv67R,At home
DVv67R,On the go
DVv67R,At the office
QABlV8,At home
LdMLpj,At home
42NVrX,At home
42NVrX,At a cafe
VZ1OpM,At a cafe
VZ1OpM,At home
42NlWr,On the go
42NlWr,At a cafe
42NlWr,At the office
42NlWr,At home
KMBKV8,At home
aBrq6q,At home
aBrq6q,At a cafe
oAVLeP,At home
YZzlPW,At home
zKQ5jM,At home
XeBPJY,At home
XeBPJY,At the office
kYRB61,At home
kYRB61,At the office
kYRB61,At a cafe
zKQ5y0,At the office
zKQ5y0,At home
zKQ5y0,At a cafe
RzBy5d,At home
RzBy5d,At a cafe
ZdRrNy,At home
6dQE7B,At home
6dQE7B,On the go
0EjRey,On the go
0EjRey,At home
QABlDp,At home
24xGB9,At home
EPb7QX,At home
EPb7QX,At the office
qbE1AY,At home
RzByD9,At home
42NVQY,At home
EPb7XX,At home
Albe2z,At home
PABJ9V,At home
rlrM5R,On the go
rlrM5R,At home
rlrM5R,At a cafe
kYR8Pj,At a cafe
kYR8Pj,At home
kYR8Pj,At the office
J2kvqK,At the office
J2kvqK,At a cafe
J2kvqK,At home
J2kv1K,At home
J2kv1K,At the office
PABJpB,At home
EPb7l4,At the office
EPb7l4,At home
EPb7l4,At a cafe
XeBP0j,At home
XeBP0j,On the go
vNx5Yv,At home
NAB1WB,At home
NAB1WB,At the office
NAB1WB,At a cafe
42NV8k,At home
42NV8k,At the office
42NV8k,At a cafe
VZ1OQg,At home
LdMLWj,At home
LdMLKv,At home
LdMLKv,At the office
zKQ5Ya,At home
pLPpoJ,At home
lNlkqv,At home
GrBO2O,At the office
GrBO2O,At home
GrBO2O,At a cafe
KMBK1A,At the office
dY2e9o,At home
9dJjQp,At home
9dJjQp,On the go
QABl58,At home
BGbWk5,At home
24xGPj,At home
24xGPj,At the office
0EjRdB,On the go
0EjRdB,At home
0EjRdB,At the office
RzByPd,At home
RzBq9P,At home
PABJ65,At the office
PABJ65,At home
oAVLRP,At home
24xGPL,At home
rlr84L,At home
rlr84L,At a cafe
VZ1O0v,At home
VZ1O0v,At the office
VZ1O0v,At a cafe
8dp4xO,At home
bl4QWL,At home
qbE1a9,At home
VZ1O5J,On the go
VZ1O5J,At home
rlrMPl,At home
rlrMPl,At a cafe
EPb7XN,At home
dY2e0o,At home
lNlkyB,At home
lNlkyB,On the go
lNlkyB,At a cafe
lNlkyB,At the office
BGbJo7,At home
BGbJo7,At the office
BGbJo7,At a cafe
xdN5ay,At home
xdN5ay,At a cafe
xdN5ay,At the office
xdN5ay,On the go
GrBAdp,At the office
BGbWxQ,At home
MAdpzp,At home
MAdpzp,At a cafe
MAdpzp,On the go
MAdpzp,At the office
RzBy0J,At the office
RzBy0J,At home
PABJ1e,At home
XeBPWj,At the office
XeBPWj,At a cafe
XeBPWj,At home
g5N6Gl,At a cafe
g5N6Gl,At home
g5N6Gl,At the office
jB9AZJ,At home
jB9AZJ,On the go
jB9AZJ,At a cafe
jB9AZJ,At the office
g5N6e4,At the office
g5N6e4,At home
g5N6e4,At a cafe
0Ejq9Q,At home
0Ejq9Q,At a cafe
xdN8EG,At home
xdN8EG,At the office
zKQ5Da,At home
zKQ5Da,On the go
zKQ5Da,At a cafe
xdN5Xv,At home
xdN5Xv,At a cafe
24xGAj,At home
24xGAj,At a cafe
lNl8j5,At a cafe
lNl8j5,At home
YZz7Nv,At home
VZ1OEj,At a cafe
VZ1OEj,At home
VZ1OEj,On the go
oAVLAV,At home
oAVLAV,At the office
bl4Qlo,At home
PABJ0Q,At a cafe
PABJ0Q,At home
42NVkO,At home
42NVkO,At the office
9dJjdY,At home
WApV0J,At the office
1r2oEM,At home
jB9AME,At home
jB9AME,At a cafe
GrBAro,At home
KMBK67,At home
xdN5QG,At home
xdN5QG,At the office
XeBPe4,At home
8dp4kx,At home
EPb71N,At home
qbE1Wd,At home
eBxWBO,At home
eBxWBO,At the office
6dQExe,At home
24xGrp,At home
24xGrp,At a cafe
0EjRbQ,At home
0EjRbQ,On the go
5dqP2M,At home
QABlrg,At home
xdN5Qo,At home
MAdpJg,At a cafe
vNx5AQ,At the office
YZzldq,On the go
YZzldq,At home
YZzldq,At a cafe
RzByYp,At home
RzByYp,At a cafe
RzByYp,At the office
zKQ5zq,At home
5dqPkd,At home
dY2eZN,At home
1r2ovO,At home
PABJB0,On the go
AlbeDW,On the go
AlbeDW,At a cafe
AlbeDW,At the office
AlbeDW,At home
GrBA1o,At home
GrBA1o,At a cafe
GrBA1o,On the go
6dQE15,At a cafe
6dQE15,At home
6dQE15,At the office
LdMLG1,At home
LdMLG1,At the office
LdMLG1,On the go
LdML0G,At home
LdML0G,On the go
zKQ5Kq,At home
zKQ5Kq,At a cafe
J2kvJY,At home
rlrMVM,At home
rlrMVM,At a cafe
DVv6eb,At home
DVv6eb,At a cafe
5dqPdd,At home
RzByLl,At home
RzByLl,At the office
RzByLl,At a cafe
5dqPvP,At home
YZzlV0,At the office
YZzlV0,At a cafe
YZzlV0,At home
vNx54A,At home
vNx54A,At the office
XeBPG4,At home
jB9ABE,At the office
jB9ABE,At home
jB9ABE,At a cafe
PABJ8P,At home
RzBy4J,At home
RzBy4J,At a cafe
jB9AxR,At home
jB9AxR,At the office
dY2eYA,On the go
dY2eYA,At home
0EjRJ0,At home
0EjRJ0,At the office
0EjRJ0,At a cafe
PABJvP,At home
DVv60p,At home
rlrMKv,At home
rlrMKv,At a cafe
9dJjJ4,At home
9dJjJ4,On the go
9dJjJ4,At a cafe
oAVL0M,At a cafe
oAVL0M,At home
vNx5Od,On the go
vNx5Od,At the office
QABlYA,At home
24xGkp,At home
7d9roL,At the office
7d9roL,At home
