submission_id,dairy
zKQ8ZZ,
rlrQxl,Half and half
rlrQxl,Whole milk
rlrQxl,Almond milk
VZ1W8N,
WAp6PN,
DVvo9l,Whole milk
DVvo9l,Oat milk
ylqAdB,
rlrQP2,
EPbo0L,
ylqAY6,
AlbR7B,
EPbVxA,
BGboo4,
dY2GGD,Whole milk
oAV8o5,Skim milk
WApa9N,
BGbJE5,Flavored coffee creamer
BGbJE5,Coffee creamer
0EjzA9,
vNx6YX,Coffee creamer
WApaAQ,Oat milk
J2krZX,
oAVN6V,
VZ1WVN,
42Nlko,
RzBq4P,
1r2QM4,
LdM4d2,Half and half
42N0dB,Flavored coffee creamer
jB98M9,
1r205O,Oat milk
5dq0yE,
YZzb4N,
QABq7Y,
PABQDd,
9dJY7E,Flavored coffee creamer
9dJY7E,Oat milk
9dJY7E,Coffee creamer
9dJY7E,Half and half
9dJY7E,Whole milk
9dJY7E,Soy milk
24xYgM,
KMB25K,
RzBqzP,
GrBEvo,Oat milk
GrBEvo,Whole milk
rlrQrv,Whole milk
LdMxpz,
ZdRblA,Whole milk
ZdRblA,Skim milk
ZdRblA,Oat milk
ZdRblA,Soy milk
bl4My7,
XeB72d,Whole milk
zKQBXq,
rlr9Yv,Coffee creamer
rlr9Yv,Flavored coffee creamer
rlr9Yv,Whole milk
dY2GNy,Oat milk
zKQA18,Half and half
zKQA18,Whole milk
ZdRAAV,Coffee creamer
ZdRAAV,Oat milk
VZ17Ev,
NAB2Ab,
rlr9yM,Oat milk
5dqYbv,Whole milk
AlbRKW,
ylqb6X,Half and half
dY2o6d,Whole milk
dY2o6d,Oat milk
dY2oKz,Half and half
oAVN61,Oat milk
rlr9yv,
kYR4Nr,Whole milk
kYR4Nr,Skim milk
zKQ4kq,
RzBeoP,
24xYJL,Oat milk
ZdRAWA,
rlr9OL,Whole milk
rlr9OL,Half and half
rlr9OL,Almond milk
PABQdQ,Coffee creamer
1r20NQ,
qbEqj2,Skim milk
g5NV9P,Oat milk
42NY8Y,
GrBVJp,Skim milk
7d90RL,
lNl8WV,Flavored coffee creamer
vNxaEA,Whole milk
vNxaEA,Oat milk
0EjY5P,
eBxO5q,Oat milk
blx47Z,Whole milk
blx47Z,Coffee creamer
lNlXyB,Half and half
1r2Yx4,
1r20WM,Whole milk
1r20WM,Half and half
J2krad,
DVvo05,Whole milk
DVvo05,Half and half
VZ1aJj,
42N0ab,
aBrJxZ,Oat milk
9dJ0qG,
PABN1x,
8dpDDk,
qA2y0O,Whole milk
V0ELg6,Coffee creamer
zKQ8Qg,
VZ1WYN,Whole milk
jB98W1,Whole milk
24x9Rj,
rlr82o,
QABNj7,
vNx8El,
jB98WY,
LdM4Op,
qbE8gG,
bl41zZ,
xdN8yk,
rlr8LX,Oat milk
jB98ga,
pLPY01,Half and half
GrBODO,
7d97a0,
WApale,
0EjqlN,Oat milk
oAV8dN,
0Ejqaj,
5dqaeZ,
g5N8v4,
oAV8lb,
AlbMyz,
jB9871,Skim milk
9dJA2E,
PABZBx,
DVvRWR,
dY2JDV,
bl41Y1,Coffee creamer
bl41Y1,Flavored coffee creamer
rlr8vR,
xdN89d,Almond milk
kYR8Jo,
YZz7xW,
RzBq29,
24x9DD,
rlr8k2,
7d97ER,
GrBOBO,
42NlPr,
XeB6OP,Oat milk
VZ1W4y,
kYR8ve,
YZz7oN,
OABxYM,Whole milk
xdN8lv,
eBxgYk,Whole milk
RzBqj9,Oat milk
RzBqj9,Flavored coffee creamer
1r2QGg,
pLPYZJ,
MAdj6k,
OABxER,
BGbJ0K,
qbE8jO,
kYR8ze,Almond milk
GrBODQ,
vNx8KD,
oAV8VN,
VZ1Wxg,
24x9Oe,
KMBrO8,Whole milk
WApa1v,
bl41gL,
EPbovB,Coffee creamer
EPbovB,Flavored coffee creamer
EPbovB,Half and half
ylq8e8,Oat milk
24x9ZL,
MAdjGM,
24x9Zj,
rlr8kR,Soy milk
g5N8pl,
rlr8qN,
ylq87g,
GrBO7Z,Whole milk
NAB2Rj,Oat milk
RzBqkj,
xdN86r,
9dJArQ,Oat milk
EPboa4,
WApaQN,Oat milk
WApaQN,Whole milk
WApaQN,Almond milk
42NlN5,
AlbM50,Oat milk
QABNap,Whole milk
dY2Jkd,Oat milk
RzBqr9,
lNl89W,Half and half
PABZGB,Half and half
RzBqjj,Half and half
LdM4ov,
GrBO5k,
ZdRbWo,Half and half
AlbMQD,Whole milk
42NlqX,
24x9D9,
oAV81V,
QABNE7,
6dQ6QN,
KMBrkV,Whole milk
g5N8NJ,
aBrpab,Flavored coffee creamer
aBrpab,Half and half
OABxVR,Half and half
aBrpPq,
bl41vZ,
oAV8kO,Half and half
qbE8NG,Skim milk
eBxgoe,
aBrpkB,Half and half
vNx8g0,Oat milk
NAB2Ol,Half and half
GrBObk,
kYR8x1,Oat milk
kYR8x1,Soy milk
g5N8z4,Whole milk
g5N8z4,Coffee creamer
g5N8z4,Oat milk
g5N8z4,Flavored coffee creamer
lNl8zv,Whole milk
jB98z4,
RzBqVj,
BGbJ6Q,
5dqagd,
QABN8Y,Whole milk
QABN8Y,Coffee creamer
24x9o9,Oat milk
BGbJ9Q,Whole milk
BGbJ9Q,Oat milk
BGbJ9Q,Almond milk
BGbJ9Q,Half and half
PABZrV,
lNl84k,Almond milk
rlr8YR,
zKQ8L0,
NAB2El,Soy milk
9dJAMV,Whole milk
YZz79J,Coffee creamer
5dqaod,Coffee creamer
5dqaod,Half and half
GrBOgp,Whole milk
GrBOgp,Skim milk
dY2Jgo,
AlbMAe,
XeB6d4,
QABNX8,Oat milk
1r2QBp,
VZ1WY6,
LdM4Vv,
6dQ6MJ,
oAV8vx,
oAV8gP,Whole milk
EPboJ2,Oat milk
MAdjVA,
EPboEX,
6dQ64k,Whole milk
NAB240,
pLPYzB,
OABxEg,Whole milk
NAB2gB,
vNx8vQ,Oat milk
LdM4yj,
qbE8k9,
qbE8v9,Whole milk
qbE8v9,Oat milk
dY2J8d,Whole milk
jB98Yx,Half and half
rlr8gN,Oat milk
XeB6Ng,Whole milk
OABx97,Almond milk
OABx97,Flavored coffee creamer
42NlEX,Whole milk
LdM4al,
ZdRbDB,Whole milk
6dQ6Vk,
8dpbVx,Whole milk
6dQ65P,Whole milk
6dQ65P,Coffee creamer
6dQ65P,Half and half
6dQ65P,Skim milk
1r2Q6l,
7d97MR,Flavored coffee creamer
7d97MR,Half and half
ylq8GB,Whole milk
ylq8GB,Almond milk
kYR8p1,
8dpbgx,
VZ1Wqg,
WApaBa,
dY2J1q,
vNx8W0,
5dqaOo,
QABNWp,Whole milk
ZdRbQo,
NAB2yB,
oAV81e,
PABZYx,Whole milk
PABZYx,Half and half
PABZYx,Coffee creamer
PABZYx,Oat milk
PABZYx,Flavored coffee creamer
PABZWb,Half and half
XeB6v4,Coffee creamer
XeB6v4,Oat milk
XeB6v4,Whole milk
9dJAxQ,
DVvRE5,Coffee creamer
DVvRE5,Whole milk
DVvRE5,Oat milk
DVvRE5,Flavored coffee creamer
lNl87X,Oat milk
eBxgye,Oat milk
aBrpgq,
OABxrR,
WApajv,
1r2QxQ,
AlbM9z,
8dpbWO,
7d97zA,Whole milk
24x9zV,
VZ1W9j,
rlr8YN,
xdN80d,
1r2QgW,Whole milk
EPbo64,
qbE877,
KMBrGV,Oat milk
6dQ6WY,Half and half
EPboA4,Whole milk
PABZy5,Whole milk
ZdRbgz,Whole milk
EPbo6r,
6dQ6zB,Oat milk
6dQ6zB,Whole milk
LdM4Ey,Half and half
ylq8gg,
42NlOY,
MAdjPM,
8dpb5O,Whole milk
1r2QRl,Whole milk
jB985Q,
J2kEBo,Oat milk
J2kEBo,Almond milk
eBxgvk,Half and half
eBxgvk,Almond milk
7d97jZ,Whole milk
dY2JzK,
PABZe5,Whole milk
PABZe5,Half and half
J2kEGo,Whole milk
J2kEGo,Half and half
J2kEGo,Oat milk
ylq8zx,Whole milk
ylq8zx,Skim milk
WApapR,Coffee creamer
xdN8z5,
NAB2dj,
ylq81x,
vNx8zD,Flavored coffee creamer
vNx8zD,Oat milk
vNx8zD,Almond milk
vNx8zD,Soy milk
vNx8zD,Coffee creamer
oAV8zP,
QABNkG,Half and half
8dpbDA,
YZz760,
PABZqd,Whole milk
PABZqd,Oat milk
oAV8LX,Half and half
XeB6Pd,
AlbMRB,
jB98XR,Whole milk
NAB2Zb,Almond milk
aBrpMy,Whole milk
OABxKK,Whole milk
pLPYlP,
EPbooq,
XeB6je,Whole milk
XeB6je,Coffee creamer
XeB6je,Half and half
XeB6je,Oat milk
PABZq0,
GrBOE2,Whole milk
pLPYYZ,
GrBOVj,
DVvROb,
rlr8Z5,Whole milk
rlr8Z5,Half and half
KMBr2M,
kYR8BJ,
aBrpJ9,Whole milk
aBrpJ9,Oat milk
bl41a0,
RzBqyp,
1r2Q0M,
GrBOO2,
jB98V6,Half and half
QABNpg,
DVvR6j,Whole milk
xdN8q9,
xdN8W9,
9dJAzX,
rlr8ep,
WApa4L,Oat milk
WApa4L,Whole milk
lNl8pV,
9dJAbX,
zKQ8A1,Whole milk
QABNP1,
pLPYEE,Almond milk
GrBOMQ,Whole milk
RzBqpQ,
24x9MM,
7d9rX0,
YZz72z,Whole milk
42Nl0b,Whole milk
42Nl0b,Oat milk
lNl8JX,Whole milk
xdN8kd,Whole milk
VZ1WWE,
bl4QV6,Almond milk
LdM4xG,Whole milk
VZ1OLj,
KMBrrk,
5dqaWQ,Half and half
NAB22W,Half and half
eBxWZx,Oat milk
OABxOM,
lNl825,Whole milk
EPboy2,
LdM48z,
KMBKYX,
NAB21W,Oat milk
42NlMo,Whole milk
42NlMo,Half and half
BGbJv4,
rlr8No,
24xGEe,Half and half
lNlkBN,
eBxWae,
WApavR,
1r2o9p,
OABM7R,
aBrqOX,Whole milk
qbE1GG,
8dp4aP,
0EjR7j,
YZz7EN,
OABxRk,Half and half
AlbMgN,
lNlk6k,
OABxWM,Coffee creamer
OABxWM,Oat milk
OABxWM,Flavored coffee creamer
xdN5Yy,
AlbMYB,Whole milk
AlbMYB,Soy milk
AlbMYB,Oat milk
ylq5Jg,
VZ1WRj,
jB9Ala,Whole milk
YZzl4B,
J2kvz4,
oAV8W5,
oAVLGe,
KMBKlA,
6dQEDY,Half and half
1r2o7Q,
1r2oVQ,
0EjR8y,
LdMLzp,
LdML7p,Oat milk
jB9Ab4,Oat milk
aBrq4B,
DVv6Nq,
DVv6pR,
rlrMON,Whole milk
g5N6Ml,Half and half
NAB1oB,
VZ1Ojy,
dY2exq,
RzByo9,Whole milk
rlrMoN,Skim milk
XeBP4g,Skim milk
DVv6qN,
vNx5P0,
6dQEZk,Whole milk
qbE1d7,Whole milk
qbE1d7,Oat milk
bl4QeL,
PABJ55,
aBrq9b,
LdMLPv,
qbE1VY,Whole milk
oAVLEx,
PABJ1V,
0EjR6N,Half and half
0EjR6N,Whole milk
BGbW75,Whole milk
8dp4L5,
GrBARZ,
rlrMBR,
J2kEvY,Coffee creamer
J2kEvY,Flavored coffee creamer
J2kEvY,Half and half
GrBAve,
g5N6qO,Flavored coffee creamer
J2kvOo,Whole milk
GrBAlp,
7d9r2P,Half and half
7d9r2P,Whole milk
1r2odl,Whole milk
J2kvdR,
jB9APx,
DVv6kZ,
xdN8Ok,
NAB1qO,Whole milk
GrBA9Z,Oat milk
bl4Qdg,
5dqPZo,
J2kEyz,Oat milk
jB98j9,
DVv67R,Whole milk
QABlV8,
LdMLpj,
42NVrX,
VZ1OpM,
42NlWr,Whole milk
42NlWr,Half and half
KMBKV8,
aBrq6q,Almond milk
aBrq6q,Skim milk
aBrq6q,Half and half
oAVLeP,
YZzlPW,Whole milk
zKQ5jM,Whole milk
XeBPJY,
kYRB61,Whole milk
kYRB61,Half and half
kYRB61,Soy milk
zKQ5y0,Skim milk
RzBy5d,
ZdRrNy,Whole milk
6dQE7B,
0EjRey,Whole milk
0EjRey,Half and half
QABlDp,Coffee creamer
QABlDp,Almond milk
QABlDp,Oat milk
24xGB9,Half and half
24xGB9,Flavored coffee creamer
EPb7QX,
qbE1AY,
RzByD9,Skim milk
42NVQY,Whole milk
EPb7XX,
Albe2z,
PABJ9V,
rlrM5R,
kYR8Pj,
J2kvqK,Whole milk
J2kv1K,
PABJpB,Whole milk
EPb7l4,Oat milk
EPb7l4,Soy milk
EPb7l4,Half and half
XeBP0j,Whole milk
vNx5Yv,
NAB1WB,
42NV8k,Whole milk
VZ1OQg,Oat milk
LdMLWj,Half and half
LdMLKv,
zKQ5Ya,Oat milk
pLPpoJ,Whole milk
pLPpoJ,Oat milk
lNlkqv,
GrBO2O,
KMBK1A,Half and half
KMBK1A,Flavored coffee creamer
dY2e9o,Whole milk
dY2e9o,Oat milk
9dJjQp,
QABl58,
BGbWk5,
24xGPj,Oat milk
0EjRdB,Whole milk
0EjRdB,Half and half
RzByPd,
RzBq9P,
PABJ65,Half and half
oAVLRP,
24xGPL,
rlr84L,
VZ1O0v,Whole milk
8dp4xO,Coffee creamer
bl4QWL,
qbE1a9,Whole milk
VZ1O5J,
rlrMPl,Oat milk
EPb7XN,Oat milk
dY2e0o,
lNlkyB,Whole milk
lNlkyB,Flavored coffee creamer
lNlkyB,Coffee creamer
BGbJo7,
xdN5ay,Oat milk
xdN5ay,Soy milk
GrBAdp,
BGbWxQ,
MAdpzp,Oat milk
RzBy0J,Whole milk
PABJ1e,Half and half
XeBPWj,
g5N6Gl,
jB9AZJ,Half and half
jB9AZJ,Whole milk
jB9AZJ,Coffee creamer
g5N6e4,
0Ejq9Q,
xdN8EG,
zKQ5Da,Whole milk
zKQ5Da,Oat milk
xdN5Xv,
24xGAj,
lNl8j5,
YZz7Nv,Whole milk
VZ1OEj,
oAVLAV,
vNx52A,
bl4Qlo,
PABJ0Q,Oat milk
42NVkO,
9dJjdY,
WApV0J,
1r2oEM,Coffee creamer
1r2oEM,Flavored coffee creamer
jB9AME,
GrBAro,
KMBK67,Whole milk
KMBK67,Oat milk
KMBK67,Soy milk
xdN5QG,
XeBPe4,Oat milk
8dp4kx,
EPb71N,
qbE1Wd,
eBxWBO,
6dQExe,
24xGrp,Whole milk
0EjRbQ,Whole milk
5dqP2M,Whole milk
QABlrg,
xdN5Qo,
MAdpJg,Oat milk
vNx5AQ,Flavored coffee creamer
YZzldq,Half and half
YZzldq,Skim milk
RzByYp,
zKQ5zq,
5dqPkd,
dY2eZN,
1r2ovO,
PABJB0,Oat milk
AlbeDW,Oat milk
GrBA1o,Whole milk
6dQE15,
LdMLG1,
LdML0G,Whole milk
zKQ5Kq,
J2kvJY,Soy milk
rlrMVM,
DVv6eb,
5dqPdd,
RzByLl,Whole milk
5dqPvP,
YZzlV0,Whole milk
vNx54A,
XeBPG4,
jB9ABE,
PABJ8P,
RzBy4J,
jB9AxR,
dY2eYA,
0EjRJ0,
PABJvP,Oat milk
DVv60p,
rlrMKv,
9dJjJ4,
oAVL0M,
vNx5Od,Oat milk
vNx5Od,Almond milk
vNx5Od,Soy milk
vNx5Od,Whole milk
QABlYA,
24xGkp,
7d9roL,
lNlkNW,
g5N64N,Whole milk
g5N65d,Half and half
7d9rdA,Whole milk
lNlkL5,
rlrMKM,
0EjRoQ,Whole milk
GrBA1j,
qbE1b7,Oat milk
qbE1b7,Soy milk
oAVLVM,Whole milk
RzByRl,
g5N6QK,Coffee creamer
g5N6QK,Flavored coffee creamer
GrBAYz,Oat milk
GrBAYz,Half and half
GrBAYz,Skim milk
QABlBk,
vNx5NQ,Oat milk
6dQEro,
eBxWNo,
NAB1MN,
dY2eDy,Whole milk
MAdpvE,
MAdp5Y,
9dJjE1,
PABJ20,
8dp4eA,
DVv65b,
qbE1o8,
OABMBA,
oAVLlM,Skim milk
5dqPEb,
6dQEOO,Half and half
jB9A99,
7d9r46,
qbE1Yk,
pLPpWZ,
VZ1Olv,
OABMJp,
aBrqry,
7d9r9z,Whole milk
oAVLl5,
aBrqZW,
lNlk06,
ZdRrGv,
xdN5ZG,Whole milk
lNlkYV,
VZ1OME,
rlrMrL,Oat milk
rlrMrL,Whole milk
42NVAd,
jB9AJ1,Oat milk
rlrMr5,
WApVpQ,Whole milk
ZdRrvA,Whole milk
8dp4dx,Whole milk
vNx5JX,Almond milk
vNx5JX,Oat milk
vNx5JX,Flavored coffee creamer
zKQ5e1,Whole milk
zKQ5e1,Oat milk
lNlkKV,Whole milk
rlrMJX,
8dp4PY,Whole milk
LdMLaz,
rlrM0L,Whole milk
PABJBd,
NAB1Rp,
42NV9d,Whole milk
jB9A76,
OABMLK,Half and half
GrBABz,
YZzlY6,
YZzlo0,Whole milk
g5N671,
qbE1k5,Whole milk
7d9r16,
24xGkV,Whole milk
BGbWA4,Whole milk
rlrMJp,Whole milk
bl4Qr2,
aBrqDE,
YZzlrq,
VZ1O9l,
EPb7Lo,Whole milk
EPb7Lo,Half and half
jB9A09,Oat milk
jB9A09,Almond milk
GrBAL2,
EPb7Z2,Half and half
EPb7vA,
42NVPo,Whole milk
g5N6JM,Whole milk
9dJj2K,
xdN5Rk,Whole milk
24xGvA,Oat milk
24xGvA,Whole milk
AlbeWo,
ZdRrza,Whole milk
qbE1Ek,
1r2oN4,
VZ1ObN,
24xGxA,Whole milk
24xGxA,Oat milk
pLPpRy,Whole milk
pLPpRy,Oat milk
J2kvk7,
oAVL55,Oat milk
oAVL55,Almond milk
oAVL55,Soy milk
lNlkWp,Coffee creamer
QABl8l,
eBxWxo,
eBxW2E,
rlrMd5,Oat milk
8dp4Ak,
RzByvv,Oat milk
rlrM2p,
24xG1g,Oat milk
24xG1g,Almond milk
EPb7BL,
eBxWKJ,Whole milk
zKQ5J8,
ZdRrZ5,
1r2o2L,Oat milk
1r2o2L,Whole milk
xdN599,
YZzlpz,
bl4Q82,Whole milk
PABJ80,Half and half
24xGOb,
5dqPGP,
bl4Q4E,
KMBKBK,Half and half
DVv6Jj,
eBxW7E,
GrBAoz,
EPb70o,
kYRBJd,
J2kv2d,
OABMdk,
LdMLvz,Whole milk
0EjRv0,
VZ1OZv,
5dqPLM,Whole milk
5dqPLM,Oat milk
LdMLXG,
RzByZP,
42NVvB,Whole milk
GrBAqO,
BGbWj4,Oat milk
BGbWB7,Half and half
ylq5o6,Whole milk
J2kvLJ,Whole milk
42NVjb,Whole milk
bl4Q2E,
5dqPev,Oat milk
6dQEvO,
jB9ALR,Whole milk
jB9ALR,Half and half
jB9ALR,Oat milk
jB9ALR,Almond milk
9dJjpK,Half and half
LdMLE2,Oat milk
LdMLE2,Flavored coffee creamer
LdMLE2,Skim milk
xdN54E,Oat milk
J2kvV7,Whole milk
8dp46k,Whole milk
1r2oD4,
bl4QK0,Oat milk
bl4QK0,Soy milk
bl4QK0,Almond milk
DVv6AX,
QABlxk,Oat milk
QABlxk,Half and half
aBrqjy,
XeBP1e,Oat milk
XeBP1e,Whole milk
qbE1P2,
9dJjlG,Oat milk
9dJjlG,Almond milk
9dJjlG,Soy milk
WApVPJ,Whole milk
jB9A5Y,
OABMjA,
DVv6V5,Skim milk
XeBPMd,
6dQEAo,Coffee creamer
jB9AG9,Oat milk
pLPpVV,
rlrMYo,Half and half
5dqPpQ,
rlrMbN,
zKQ51g,Soy milk
7d9rp2,
5dqPMQ,Oat milk
5dqPMQ,Whole milk
9dJjrE,
MAdp78,
kYRBpo,Half and half
pLPpz1,Skim milk
pLPpz1,Half and half
pLPpz1,Almond milk
pLPpz1,Soy milk
KMBKgX,
QABlk1,Skim milk
XeBPzz,
8dp4gP,
PABJ41,
QABlO1,Skim milk
RzByjK,
kYRBrr,
PABJGx,
vNx5gl,
eBxWzx,
WApVZe,
Albeae,Oat milk
lNlkMX,Whole milk
OABMVa,
XeBP2z,
eBxWpl,Skim milk
EPb7gB,
RzBy2K,
1r2oBg,
GrBAjZ,
KMBKaD,
ZdRrQV,Half and half
1r2oRg,
kYRBkZ,
oAVLzb,
aBrqzZ,Oat milk
rlrMvX,
EPb76l,
24xGDM,
7d9rPa,Whole milk
DVv69R,
42NVdA,Oat milk
g5N6OP,
J2kvZR,
RzBylj,Coffee creamer
qbE1zO,Half and half
jB9AEQ,
xdN5ov,
9dJja5,
EPb7N2,
kYRBQe,
24xGVD,Whole milk
VZ1O46,
PABJee,
eBxWYQ,Half and half
qbE1NO,
oAVLaP,
LdMLgl,
ylq5zd,
NAB1EO,
7d9rj0,Whole milk
7d9rj0,Skim milk
ZdRrKB,
xdN56d,Oat milk
rlrMg2,Half and half
qbE1pg,Oat milk
qbE1pg,Almond milk
pLPpXJ,
xdN5vk,
vNx5a0,
LdML6J,
bl4QML,
6dQEyJ,Whole milk
6dQEyJ,Half and half
xdN5L5,
OABMra,
jB9AgQ,
EPb7AB,
GrBAQO,
lNlk9v,
eBxWox,
VZ1OyM,Coffee creamer
KMBKNV,
OABMyY,
WApVjR,Whole milk
OABMKR,
YZzlyW,
BGbWVK,Oat milk
XeBPyL,
VZ1OBg,
1r2ox1,Whole milk
LdMLVl,
oAVLQO,
pLPpNJ,
eBxWPk,
VZ1Oxj,
zKQ54R,
Albeyl,
eBxWyl,Whole milk
rlrM1R,Half and half
24xGZD,
VZ1Oyy,
XeBPdg,
rlrMRN,
6dQEGk,Whole milk
EPb7YB,
7d9rEa,
ylq5Rx,
MAdpgk,
g5N6vJ,
0EjRlB,Skim milk
9dJjPQ,
AlbeND,Whole milk
AlbeND,Skim milk
OABMkM,
zKQ5dk,
7d9rgR,
vNx5pl,
EPb7e4,
DVv6PZ,
MAdpPk,Half and half
MAdpPk,Whole milk
ylq5rg,Whole milk
24xG7M,Coffee creamer
bl4Qz6,
6dQE9Y,
eBxWvQ,Whole milk
ZdRrXo,
24xGy9,Whole milk
xdN57r,Half and half
lNlkXk,
9dJjyV,Whole milk
RzBy19,
J2kvgK,
J2kvbo,
DVv6ZE,Oat milk
aBrq1B,
XeBPvY,Oat milk
ZdRrAo,
NAB1O0,
J2kvBr,
ylq5px,Flavored coffee creamer
KMBKRg,
OABMyg,
oAVLax,
VZ1OXg,Half and half
WApVdv,
aBrqXB,Flavored coffee creamer
EPb7rr,Oat milk
NAB1gO,
XeBPkY,Whole milk
vNx5Wg,
LdMLOy,
aBrqa2,Whole milk
aBrqa2,Half and half
WApVXN,Whole milk
OABMeg,
NAB1xl,Whole milk
dY2ekV,Skim milk
LdMLBv,Flavored coffee creamer
Albe0e,Whole milk
Albe0e,Skim milk
Albe0e,Half and half
eBxW8e,Half and half
8dp4V5,
1r2ozp,
DVv6al,Soy milk
QABl4Y,Whole milk
DVv6EZ,Skim milk
J2kvxR,
eBxWGe,Whole milk
KMBKA8,
DVv6Wl,
QABlyG,
pLPp58,
VZ1Oqj,
XeBPNP,Whole milk
jB9Aq4,
qbE1M9,Coffee creamer
5dqPON,
rlrMW2,
dY2ezr,Oat milk
dY2ezr,Coffee creamer
dY2ezr,Half and half
oAVLgb,
GrBAaZ,
7d9rOZ,
kYRB1e,Coffee creamer
kYRB1e,Oat milk
24xGzj,Flavored coffee creamer
24xGzj,Coffee creamer
XeBPQP,Half and half
XeBPQP,Coffee creamer
XeBPQP,Flavored coffee creamer
9dJj4E,
MAdpqA,
AlbeOz,
NAB1Qj,
GrBA5O,
24xGYj,
kYRBXR,
WApV6N,
dY2eXo,
QABlp7,
ylq5GX,
EPb7Al,
42NVEA,Coffee creamer
aBrqgb,Flavored coffee creamer
42NVYX,
oAVL1x,
KMBKZV,
1r2oyl,
42NVEr,
g5N614,Whole milk
g5N614,Flavored coffee creamer
0EjRyj,
6dQEzJ,
jB9Ara,
dY2e4K,Whole milk
dY2e4K,Oat milk
dY2e4K,Coffee creamer
dY2e4K,Flavored coffee creamer
zKQ5vM,
YZzlgW,
pLPpZ1,Whole milk
J2kvro,
xdN5B5,Whole milk
rlrMp2,
QABlWG,
vNx5d4,
jB9AzQ,Half and half
jB9AzQ,Flavored coffee creamer
jB9AzQ,Whole milk
MAdp2M,
7d9rYZ,
g5N6XO,
PABJr1,Whole milk
PABJr1,Half and half
RzByg4,Whole milk
RzByg4,Oat milk
MAdpGl,Whole milk
g5N6rD,Almond milk
g5N6rD,Whole milk
g5N6rD,Half and half
RzByaj,Whole milk
PABJLV,
GrBA4k,
zKQ5o0,
dY2eyA,
GrBAOp,
qbE1QY,
9dJj0p,
EPb77N,Oat milk
YZzlbB,
Albeek,Oat milk
WApV7a,
kYRBPM,
GrBAAo,
rlrMMl,
VZ1Oag,
5dqPa6,
J2kvj4,
XeBPAj,
24xGdL,
qbE117,
42NVVk,
5dqPYo,
J2kv4d,Skim milk
EPb7VX,
LdMLxj,Whole milk
1r2o0Q,Whole milk
1r2o0Q,Oat milk
1r2o0Q,Almond milk
