submission_id,dairy
xdN57r,Half and half
9dJjyV,Whole milk
DVv6ZE,Oat milk
XeBPvY,Oat milk
ylq5px,Flavored coffee creamer
VZ1OXg,Half and half
aBrqXB,Flavored coffee creamer
EPb7rr,Oat milk
XeBPkY,Whole milk
aBrqa2,Whole milk
aBrqa2,Half and half
WApVXN,Whole milk
NAB1xl,Whole milk
dY2ekV,Skim milk
LdMLBv,Flavored coffee creamer
Albe0e,Whole milk
Albe0e,Skim milk
Albe0e,Half and half
eBxW8e,Half and half
DVv6al,Soy milk
QABl4Y,Whole milk
DVv6EZ,Skim milk
eBxWGe,Whole milk
XeBPNP,Whole milk
qbE1M9,Coffee creamer
dY2ezr,Oat milk
dY2ezr,Coffee creamer
dY2ezr,Half and half
kYRB1e,Coffee creamer
kYRB1e,Oat milk
24xGzj,Flavored coffee creamer
24xGzj,Coffee creamer
XeBPQP,Half and half
XeBPQP,Coffee creamer
XeBPQP,Flavored coffee creamer
42NVEA,Coffee creamer
aBrqgb,Flavored coffee creamer
g5N614,Whole milk
g5N614,Flavored coffee creamer
dY2e4K,Whole milk
dY2e4K,Oat milk
dY2e4K,Coffee creamer
dY2e4K,Flavored coffee creamer
pLPpZ1,Whole milk
xdN5B5,Whole milk
jB9AzQ,Half and half
jB9AzQ,Flavored coffee creamer
jB9AzQ,Whole milk
PABJr1,Whole milk
PABJr1,Half and half
RzByg4,Whole milk
RzByg4,Oat milk
MAdpGl,Whole milk
g5N6rD,Almond milk
g5N6rD,Whole milk
g5N6rD,Half and half
RzByaj,Whole milk
EPb77N,Oat milk
Albeek,Oat milk
J2kv4d,Skim milk
LdMLxj,Whole milk
1r2o0Q,Whole milk
1r2o0Q,Oat milk
1r2o0Q,Almond milk
42NV6b,Oat milk
42NVMb,Whole milk
RzByQ9,Oat milk
RzByQ9,Almond milk
RzByQ9,Soy milk
42NVlk,Whole milk
42NVlk,Oat milk
XeBP6j,Oat milk
WApVLJ,Whole milk
WApVLJ,Coffee creamer
xdN5qo,Coffee creamer
5dqP06,Whole milk
5dqP06,Oat milk
zKQ58a,Whole milk
DVv685,Oat milk
dY2ery,Whole milk
pLPp2b,Whole milk
GrBAZj,Oat milk
ylq58B,Whole milk
ylq5AB,Oat milk
AlbeR0,Oat milk
aBrqR9,Oat milk
aBrqR9,Almond milk
42NVbO,Whole milk
oAVLJ1,Whole milk
7d9rrA,Whole milk
5dqPNM,Whole milk
5dqPNM,Oat milk
5dqPNM,Half and half
ZdRrbz,Half and half
vNx59Q,Oat milk
EPb72o,Oat milk
PABJxb,Whole milk
PABJxb,Coffee creamer
PABJxb,Flavored coffee creamer
PABJxb,Almond milk
6dQE6P,Flavored coffee creamer
RzByyJ,Skim milk
rlrM8l,Whole milk
9dJjKY,Whole milk
RzByNl,Oat milk
VZ1O7J,Whole milk
vNx5kd,Oat milk
GrBAAp,Coffee creamer
GrBAW2,Whole milk
oAVLLV,Whole milk
g5N6EN,Whole milk
xdN5AG,Whole milk
xdN5AG,Flavored coffee creamer
xdN5AG,Oat milk
ZdRrBy,Whole milk
zKQ5Ba,Half and half
0EjRX0,Whole milk
0EjRX0,Oat milk
0EjRX0,Half and half
9dJjjY,Whole milk
9dJjjY,Half and half
8dp4Bx,Oat milk
LdML4j,Whole milk
LdML4j,Oat milk
aBrqMq,Whole milk
lNlkGW,Whole milk
lNlkGW,Skim milk
5dqPJM,Half and half
7d9ryL,Oat milk
7d9ryL,Whole milk
kYRBqJ,Whole milk
kYRBqJ,Oat milk
jB9AjR,Whole milk
AlbeM0,Whole milk
AlbeM0,Half and half
AlbeM0,Coffee creamer
AlbeM0,Oat milk
NAB1ZQ,Whole milk
oAVLJX,Almond milk
oAVLJX,Oat milk
oAVLJX,Whole milk
oAVLJX,Flavored coffee creamer
ZdRrqa,Skim milk
xdN5by,Flavored coffee creamer
xdN5by,Almond milk
42NV5B,Half and half
EPb77X,Whole milk
pLPpQV,Whole milk
OABMq7,Whole milk
24xG6V,Whole milk
lNlkkB,Whole milk
lNlkkB,Almond milk
MAdpZp,Skim milk
eBxW4E,Whole milk
eBxW4E,Oat milk
OABMx7,Whole milk
OABMZR,Half and half
GrBAPo,Flavored coffee creamer
QABl98,Soy milk
xdN55y,Skim milk
dY2eOz,Flavored coffee creamer
ylq5O0,Almond milk
NAB1GW,Oat milk
NAB1GW,Whole milk
GrBAGo,Whole milk
24xGWV,Half and half
5dqPRP,Half and half
ZdRrry,Whole milk
g5N6ld,Whole milk
g5N6ld,Skim milk
aBrqW9,Whole milk
aBrqW9,Half and half
BGbWRN,Oat milk
9dJjb1,Whole milk
J2kvPd,Whole milk
PABJKd,Skim milk
42NVZb,Whole milk
QABlZg,Whole milk
kYRBBM,Half and half
qbE1r2,Oat milk
QABlQp,Whole milk
QABlQp,Almond milk
QABlQp,Oat milk
EPb7Ro,Skim milk
pLPpjE,Coffee creamer
BGbWMA,Whole milk
ylqaNd,Oat milk
qbE1xk,Half and half
rlrMx5,Whole milk
ZdRrpv,Flavored coffee creamer
VZ16zj,Whole milk
0EjWQP,Half and half
bl4Jq7,Oat milk
bl4Jq7,Almond milk
qbElGO,Oat milk
WAp79L,Whole milk
QABlgk,Skim milk
NABZrp,Half and half
oAVL4M,Oat milk
8dplLl,Oat milk
8dplLl,Almond milk
8dplLl,Soy milk
MAdxD8,Whole milk
jB9VDY,Half and half
bl4J97,Whole milk
zKQ6xZ,Half and half
zKQ6xZ,Oat milk
6dQEb5,Flavored coffee creamer
MAdxeE,Skim milk
dY2eLN,Coffee creamer
rlrZOo,Coffee creamer
1r2o1L,Whole milk
VZ16G6,Whole milk
BGbRde,Whole milk
LdMLA2,Whole milk
lNlEbV,Half and half
lNlEbV,Whole milk
pLP2rP,Half and half
VZ16El,Whole milk
BGbWPY,Whole milk
AlbX7o,Half and half
5dqAzE,Half and half
5dqAzE,Oat milk
42NbKr,Flavored coffee creamer
8dp47Y,Oat milk
jB9VZ1,Whole milk
EPbOWB,Whole milk
dY2yEV,Whole milk
dY2yWD,Whole milk
DVvGKE,Almond milk
YZzlN6,Almond milk
YZzlN6,Flavored coffee creamer
YZzlN6,Oat milk
zKQ6Ng,Skim milk
KMBjzD,Whole milk
vNx9eg,Oat milk
vNx9eg,Almond milk
vNx9eg,Coffee creamer
RzB9oK,Oat milk
jB9Vb1,Coffee creamer
J2k4dX,Skim milk
J2k4dX,Almond milk
J2k4dX,Soy milk
QABQeY,Oat milk
QABQeY,Soy milk
6dQB8o,Half and half
6dQB7J,Whole milk
6dQB7J,Half and half
AlbX2y,Whole milk
kYRPEo,Whole milk
VZ165y,Whole milk
24x6jM,Whole milk
oAVj9N,Whole milk
lNlEeo,Flavored coffee creamer
YZzARv,Half and half
bl4Je6,Soy milk
rlrZDX,Whole milk
vNx9Dg,Half and half
PABqj0,Oat milk
PABqj0,Soy milk
PABqj0,Skim milk
42Nb7r,Whole milk
g5N6RK,Whole milk
g5N6RK,Half and half
EPbO52,Whole milk
g5NoqP,Oat milk
KMBj1X,Whole milk
24xGMA,Soy milk
KMBjVX,Oat milk
KMBjVX,Whole milk
8dplKP,Oat milk
oAVjb5,Whole milk
rlrZao,Almond milk
OABN1k,Oat milk
OABN1k,Almond milk
QABQVX,Whole milk
VZ1ORl,Whole milk
oAVj65,Oat milk
oAVj65,Whole milk
ylqa28,Half and half
BGbRxR,Skim milk
eBxXZJ,Half and half
BGbR7R,Oat milk
xdNWx9,Almond milk
PABJad,Half and half
WAp7Ee,Half and half
DVvGdN,Whole milk
qbElDO,Half and half
qbElDO,Oat milk
lNlkJp,Half and half
24x68b,Skim milk
VZ16j6,Whole milk
1r2aA4,Half and half
BGbRXK,Whole milk
42NbB5,Skim milk
42NbB5,Whole milk
aBrM5Z,Almond milk
0EjRN0,Oat milk
oAVjDN,Whole milk
g5N6yK,Whole milk
g5N6yK,Half and half
GrBP6O,Half and half
GrBP6O,Whole milk
NABZoO,Whole milk
NABZoO,Half and half
lNlErN,Whole milk
lNlErN,Oat milk
OABN7a,Almond milk
DVvGBE,Whole milk
LdMLRO,Soy milk
LdMLRO,Almond milk
LdMLRO,Whole milk
LdMLRO,Skim milk
6dQBeN,Whole milk
5dqPWP,Whole milk
8dploo,Whole milk
0EjW7A,Oat milk
0EjWOB,Whole milk
0EjWOB,Flavored coffee creamer
xdNWJd,Flavored coffee creamer
xdNWJd,Whole milk
qbEla5,Whole milk
YZzAaW,Whole milk
YZzAaW,Half and half
YZzAaW,Oat milk
NABZVl,Soy milk
24x649,Coffee creamer
0EjWLN,Whole milk
DVvGNZ,Whole milk
NABZ0l,Whole milk
vNx920,Oat milk
vNx920,Almond milk
vNx920,Soy milk
9dJK1Q,Whole milk
J2k42R,Whole milk
eBxX20,Half and half
42NboO,Whole milk
GrBPJo,Oat milk
GrBPJo,Flavored coffee creamer
eBxXL0,Flavored coffee creamer
PABql5,Whole milk
1r2avQ,Whole milk
rlrZdl,Whole milk
rlrZdl,Oat milk
rlrZdl,Half and half
aBrMGB,Half and half
ylqaop,Half and half
aBrMK9,Half and half
MAdxOM,Oat milk
PABqbd,Soy milk
PABqbd,Almond milk
PABqbd,Oat milk
VZ168g,Whole milk
VZ168g,Half and half
ZdRBYz,Whole milk
6dQBOB,Skim milk
qbElY2,Oat milk
ZdRBZa,Whole milk
OABNzg,Oat milk
xdNWPo,Flavored coffee creamer
kYRPZR,Whole milk
kYRPZR,Oat milk
kYRPZR,Half and half
AlbXqk,Whole milk
AlbXqk,Half and half
AlbXWB,Whole milk
AlbXWB,Coffee creamer
YZzAx6,Whole milk
bl4JY2,Oat milk
OABNdp,Oat milk
WAp70N,Whole milk
LdM20v,Oat milk
LdM20v,Flavored coffee creamer
LdM20v,Coffee creamer
LdM20v,Whole milk
KMBj08,Coffee creamer
KMBj08,Whole milk
jB9VJ6,Half and half
YZzAVq,Oat milk
YZzAVq,Whole milk
jB9Vz9,Whole milk
42NbpB,Skim milk
1r2aNO,Oat milk
WAp7Pj,Oat milk
WAp7Pj,Soy milk
WAp7Pj,Whole milk
rlrZqL,Half and half
kYRPxZ,Half and half
kYRPxZ,Almond milk
24x6JL,Half and half
AlbX9N,Whole milk
YZzAzd,Whole milk
XeBbB4,Whole milk
24x67A,Whole milk
zKQ6G8,Whole milk
qbElE7,Whole milk
PABqGd,Almond milk
qbElN8,Oat milk
qbElN8,Almond milk
qbElN8,Whole milk
qbElN8,Skim milk
rlrZgp,Half and half
lNlEyv,Whole milk
lNlEyv,Coffee creamer
g5Nok1,Oat milk
g5Nok1,Whole milk
g5Nok1,Flavored coffee creamer
DVvGYX,Whole milk
DVvGYX,Oat milk
bl4JE6,Whole milk
zKQ6gZ,Oat milk
QABQkk,Oat milk
QABQkk,Coffee creamer
pLP24V,Skim milk
pLP24V,Half and half
pLP24V,Oat milk
24x6lA,Half and half
42NbNO,Half and half
42NbNO,Whole milk
24x67b,Whole milk
g5NogM,Oat milk
g5NogM,Half and half
g5NogM,Whole milk
LdM2NJ,Oat milk
bl4Jy7,Whole milk
42NbLk,Oat milk
42NbLk,Skim milk
9dJKvp,Whole milk
6dQB4o,Whole milk
kYRPO6,Whole milk
AlbX8D,Soy milk
vNx9K8,Oat milk
qbElBG,Oat milk
vNx9z8,Whole milk
zKQ6Ja,Coffee creamer
zKQ6Ja,Whole milk
PABqr0,Oat milk
PABqr0,Almond milk
dY2yXr,Soy milk
jB9VrQ,Oat milk
GrBPq2,Oat milk
GrBPq2,Flavored coffee creamer
7d9k52,Whole milk
0EjW5A,Flavored coffee creamer
0EjW5A,Half and half
0EjW5A,Coffee creamer
KMBjGK,Skim milk
KMBjGK,Oat milk
vNx9gX,Oat milk
24x6Rb,Flavored coffee creamer
ylqar8,Half and half
DVvG9l,Almond milk
DVvG9l,Oat milk
RzB92v,Oat milk
jB9V7x,Flavored coffee creamer
5dqApP,Oat milk
5dqApP,Whole milk
vNx9Lv,Oat milk
zKQ64k,Oat milk
5dqAko,Half and half
0EjWyA,Whole milk
EPbOel,Half and half
OABNKa,Oat milk
1r2agg,Flavored coffee creamer
RzB9z9,Whole milk
0EjWGP,Oat milk
aBrMxB,Whole milk
AlbXGl,Half and half
6dQBzA,Whole milk
MAdxdX,Flavored coffee creamer
dY2y1V,Oat milk
rlrZlN,Coffee creamer
rlrZlN,Flavored coffee creamer
rlrZlN,Almond milk
VZ16xN,Whole milk
zKQ6zR,Whole milk
jB9VRa,Whole milk
aBrMLB,Skim milk
YZzAAJ,Half and half
9dJK05,Whole milk
24x6G9,Almond milk
rlrZQ2,Coffee creamer
rlrZQ2,Flavored coffee creamer
xdNW7d,Whole milk
xdNW7d,Half and half
