submission_id,why_drink,why_drink_other
J2kER7,It tastes good,NULL
J2kER7,I need the caffeine,NULL
J2kER7,I need the ritual,NULL
eBxgQO,Other,I don't
J2kELz,It tastes good,NULL
LdMjqJ,It tastes good,NULL
LdMjqJ,I need the caffeine,NULL
LdMjqJ,I need the ritual,NULL
oAVNeM,It tastes good,NULL
oAVNeM,I need the caffeine,NULL
oAVZ95,It tastes good,NULL
oAVZ95,I need the ritual,NULL
eBxGvE,It tastes good,NULL
eBxGvE,I need the caffeine,NULL
g5NPYO,It tastes good,NULL
g5NPYO,I need the caffeine,NULL
g5NPYO,I need the ritual,NULL
g5NPYO,It makes me go to the bathroom,NULL
xdNbxo,It tastes good,NULL
xdNbxo,I need the caffeine,NULL
zKQ8ZZ,It tastes good,NULL
zKQ8ZZ,I need the caffeine,NULL
zKQ8ZZ,I need the ritual,NULL
rlrQxl,It tastes good,NULL
rlrQxl,I need the caffeine,NULL
rlrQxl,I need the ritual,NULL
rlrQxl,It makes me go to the bathroom,NULL
VZ1W8N,It tastes good,NULL
VZ1W8N,I need the ritual,NULL
VZ1W8N,I need the caffeine,NULL
VZ1W8N,It makes me go to the bathroom,NULL
WAp6PN,It tastes good,NULL
WAp6PN,I need the caffeine,NULL
WAp6PN,I need the ritual,NULL
DVvo9l,It tastes good,NULL
DVvo9l,I need the caffeine,NULL
DVvo9l,I need the ritual,NULL
DVvo9l,It makes me go to the bathroom,NULL
ylqAdB,It tastes good,NULL
ylqAdB,I need the caffeine,NULL
rlrQP2,NULL,NULL
EPbo0L,It tastes good,NULL
EPbo0L,I need the caffeine,NULL
EPbo0L,I need the ritual,NULL
EPbo0L,It makes me go to the bathroom,NULL
EPbo0L,Other,NULL
ylqAY6,It tastes good,NULL
AlbR7B,It tastes good,NULL
EPbVxA,It tastes good,NULL
BGboo4,It tastes good,NULL
BGboo4,I need the caffeine,NULL
dY2GGD,It tastes good,NULL
dY2GGD,I need the caffeine,NULL
oAV8o5,It tastes good,NULL
oAV8o5,I need the ritual,NULL
WApa9N,It makes me go to the bathroom,NULL
BGbJE5,I need the caffeine,NULL
0EjzA9,It tastes good,NULL
0EjzA9,I need the caffeine,NULL
0EjzA9,I need the ritual,NULL
vNx6YX,It tastes good,NULL
vNx6YX,I need the caffeine,NULL
WApaAQ,It tastes good,NULL
WApaAQ,I need the ritual,NULL
J2krZX,It tastes good,NULL
J2krZX,I need the caffeine,NULL
oAVN6V,It tastes good,NULL
oAVN6V,I need the caffeine,NULL
VZ1WVN,It tastes good,NULL
VZ1WVN,I need the caffeine,NULL
42Nlko,It tastes good,NULL
42Nlko,I need the caffeine,NULL
42Nlko,I need the ritual,NULL
RzBq4P,It tastes good,NULL
1r2QM4,It tastes good,NULL
LdM4d2,It tastes good,NULL
LdM4d2,I need the caffeine,NULL
42N0dB,I need the caffeine,NULL
42N0dB,It tastes good,NULL
jB98M9,It tastes good,NULL
1r205O,It tastes good,NULL
1r205O,I need the ritual,NULL
5dq0yE,It tastes good,NULL
5dq0yE,I need the ritual,NULL
YZzb4N,It tastes good,NULL
QABq7Y,I need the ritual,NULL
QABq7Y,It tastes good,NULL
PABQDd,It tastes good,NULL
PABQDd,I need the ritual,NULL
9dJY7E,It tastes good,NULL
9dJY7E,I need the caffeine,NULL
9dJY7E,I need the ritual,NULL
24xYgM,It tastes good,NULL
24xYgM,I need the ritual,NULL
24xYgM,I need the caffeine,NULL
KMB25K,It tastes good,NULL
RzBqzP,NULL,NULL
GrBEvo,It tastes good,NULL
GrBEvo,I need the ritual,NULL
rlrQrv,It tastes good,NULL
rlrQrv,I need the caffeine,NULL
LdMxpz,It tastes good,NULL
LdMxpz,I need the caffeine,NULL
LdMxpz,I need the ritual,NULL
ZdRblA,I need the ritual,NULL
ZdRblA,It tastes good,NULL
bl4My7,It tastes good,NULL
bl4My7,I need the ritual,NULL
bl4My7,It makes me go to the bathroom,NULL
bl4My7,I need the caffeine,NULL
XeB72d,It tastes good,NULL
XeB72d,I need the caffeine,NULL
zKQBXq,It tastes good,NULL
zKQBXq,I need the ritual,NULL
zKQBXq,I need the caffeine,NULL
rlr9Yv,It tastes good,NULL
rlr9Yv,I need the caffeine,NULL
dY2GNy,It tastes good,NULL
dY2GNy,I need the caffeine,NULL
dY2GNy,I need the ritual,NULL
dY2GNy,It makes me go to the bathroom,NULL
zKQA18,I need the caffeine,NULL
zKQA18,It tastes good,NULL
zKQA18,I need the ritual,NULL
ZdRAAV,It tastes good,NULL
ZdRAAV,I need the ritual,NULL
VZ17Ev,I need the caffeine,NULL
VZ17Ev,I need the ritual,NULL
VZ17Ev,It tastes good,NULL
NAB2Ab,It tastes good,NULL
NAB2Ab,I need the ritual,NULL
rlr9yM,It tastes good,NULL
rlr9yM,I need the ritual,NULL
rlr9yM,I need the caffeine,NULL
5dqYbv,It tastes good,NULL
5dqYbv,I need the caffeine,NULL
AlbRKW,It tastes good,NULL
AlbRKW,I need the caffeine,NULL
AlbRKW,I need the ritual,NULL
ylqb6X,It tastes good,NULL
dY2o6d,NULL,NULL
dY2oKz,It tastes good,NULL
oAVN61,It tastes good,NULL
oAVN61,I need the caffeine,NULL
oAVN61,I need the ritual,NULL
rlr9yv,It tastes good,NULL
rlr9yv,I need the ritual,NULL
kYR4Nr,It tastes good,NULL
kYR4Nr,I need the caffeine,NULL
kYR4Nr,I need the ritual,NULL
kYR4Nr,It makes me go to the bathroom,NULL
zKQ4kq,It tastes good,NULL
zKQ4kq,I need the caffeine,NULL
RzBeoP,It tastes good,NULL
24xYJL,I need the ritual,NULL
24xYJL,It tastes good,NULL
ZdRAWA,It tastes good,NULL
ZdRAWA,I need the caffeine,NULL
ZdRAWA,I need the ritual,NULL
rlr9OL,It tastes good,NULL
rlr9OL,I need the ritual,NULL
PABQdQ,It tastes good,NULL
PABQdQ,I need the caffeine,NULL
1r20NQ,It tastes good,NULL
1r20NQ,I need the ritual,NULL
qbEqj2,It tastes good,NULL
qbEqj2,I need the caffeine,NULL
qbEqj2,I need the ritual,NULL
g5NV9P,It tastes good,NULL
g5NV9P,I need the caffeine,NULL
42NY8Y,It tastes good,NULL
42NY8Y,I need the caffeine,NULL
GrBVJp,It tastes good,NULL
GrBVJp,I need the caffeine,NULL
GrBVJp,I need the ritual,NULL
7d90RL,It tastes good,NULL
lNl8WV,It tastes good,NULL
lNl8WV,I need the caffeine,NULL
vNxaEA,It tastes good,NULL
vNxaEA,I need the caffeine,NULL
0EjY5P,It tastes good,NULL
0EjY5P,I need the ritual,NULL
eBxO5q,It tastes good,NULL
blx47Z,NULL,NULL
lNlXyB,I need the ritual,Comforting
lNlXyB,I need the caffeine,Comforting
lNlXyB,It tastes good,Comforting
lNlXyB,Other,Comforting
lNlXyB,I need the ritual,warmth
lNlXyB,I need the caffeine,warmth
lNlXyB,It tastes good,warmth
lNlXyB,Other,warmth
1r2Yx4,It tastes good,NULL
1r2Yx4,I need the caffeine,NULL
1r2Yx4,I need the ritual,NULL
1r20WM,It tastes good,NULL
1r20WM,I need the ritual,NULL
1r20WM,I need the caffeine,NULL
J2krad,It tastes good,NULL
J2krad,I need the caffeine,NULL
J2krad,I need the ritual,NULL
J2krad,It makes me go to the bathroom,NULL
DVvo05,It tastes good,NULL
DVvo05,I need the ritual,NULL
VZ1aJj,It tastes good,NULL
VZ1aJj,I need the ritual,NULL
VZ1aJj,I need the caffeine,NULL
42N0ab,NULL,NULL
aBrJxZ,It tastes good,NULL
aBrJxZ,I need the ritual,NULL
9dJ0qG,It tastes good,NULL
9dJ0qG,I need the caffeine,NULL
9dJ0qG,I need the ritual,NULL
PABN1x,It tastes good,NULL
PABN1x,I need the ritual,NULL
8dpDDk,It tastes good,NULL
8dpDDk,I need the caffeine,NULL
8dpDDk,I need the ritual,NULL
qA2y0O,NULL,NULL
V0ELg6,NULL,NULL
zKQ8Qg,NULL,NULL
VZ1WYN,It tastes good,NULL
VZ1WYN,I need the ritual,NULL
VZ1WYN,I need the caffeine,NULL
jB98W1,NULL,NULL
24x9Rj,NULL,NULL
rlr82o,NULL,NULL
QABNj7,NULL,NULL
vNx8El,NULL,NULL
jB98WY,It tastes good,NULL
jB98WY,I need the ritual,NULL
LdM4Op,NULL,NULL
qbE8gG,NULL,NULL
bl41zZ,NULL,NULL
xdN8yk,It tastes good,NULL
xdN8yk,I need the caffeine,NULL
xdN8yk,I need the ritual,NULL
rlr8LX,It tastes good,NULL
jB98ga,NULL,NULL
pLPY01,NULL,NULL
GrBODO,It tastes good,NULL
7d97a0,It tastes good,NULL
7d97a0,I need the ritual,NULL
WApale,It tastes good,NULL
WApale,I need the caffeine,NULL
0EjqlN,NULL,NULL
oAV8dN,It tastes good,NULL
0Ejqaj,NULL,NULL
5dqaeZ,It tastes good,NULL
5dqaeZ,I need the caffeine,NULL
g5N8v4,I need the ritual,NULL
g5N8v4,It tastes good,NULL
oAV8lb,It tastes good,NULL
AlbMyz,NULL,NULL
jB9871,I need the caffeine,NULL
jB9871,It tastes good,NULL
9dJA2E,I need the caffeine,NULL
9dJA2E,It tastes good,NULL
PABZBx,It tastes good,NULL
PABZBx,I need the ritual,NULL
PABZBx,It makes me go to the bathroom,NULL
DVvRWR,It tastes good,NULL
DVvRWR,I need the ritual,NULL
dY2JDV,It tastes good,NULL
dY2JDV,I need the caffeine,NULL
bl41Y1,I need the ritual,NULL
bl41Y1,It tastes good,NULL
rlr8vR,It tastes good,NULL
rlr8vR,I need the caffeine,NULL
xdN89d,It tastes good,NULL
xdN89d,I need the caffeine,NULL
xdN89d,I need the ritual,NULL
kYR8Jo,It tastes good,NULL
kYR8Jo,I need the caffeine,NULL
kYR8Jo,I need the ritual,NULL
YZz7xW,I need the ritual,NULL
YZz7xW,It tastes good,NULL
YZz7xW,It makes me go to the bathroom,NULL
RzBq29,NULL,NULL
24x9DD,NULL,NULL
rlr8k2,It tastes good,NULL
7d97ER,It tastes good,NULL
7d97ER,I need the ritual,NULL
GrBOBO,It tastes good,NULL
GrBOBO,I need the caffeine,NULL
GrBOBO,I need the ritual,NULL
42NlPr,It tastes good,NULL
XeB6OP,It tastes good,NULL
XeB6OP,I need the caffeine,NULL
XeB6OP,I need the ritual,NULL
VZ1W4y,I need the ritual,NULL
VZ1W4y,It tastes good,NULL
kYR8ve,It tastes good,NULL
kYR8ve,I need the caffeine,NULL
kYR8ve,I need the ritual,NULL
YZz7oN,It tastes good,NULL
YZz7oN,I need the ritual,NULL
OABxYM,It tastes good,NULL
OABxYM,I need the caffeine,NULL
OABxYM,I need the ritual,NULL
xdN8lv,It tastes good,NULL
xdN8lv,I need the caffeine,NULL
xdN8lv,I need the ritual,NULL
eBxgYk,It tastes good,NULL
eBxgYk,I need the caffeine,NULL
RzBqj9,It tastes good,NULL
RzBqj9,I need the caffeine,NULL
1r2QGg,It tastes good,NULL
pLPYZJ,NULL,NULL
MAdj6k,It tastes good,NULL
MAdj6k,I need the ritual,NULL
OABxER,It tastes good,NULL
OABxER,I need the caffeine,NULL
OABxER,I need the ritual,NULL
BGbJ0K,It tastes good,NULL
BGbJ0K,I need the caffeine,NULL
BGbJ0K,It makes me go to the bathroom,NULL
qbE8jO,It tastes good,NULL
kYR8ze,It tastes good,NULL
GrBODQ,It tastes good,NULL
GrBODQ,I need the ritual,NULL
GrBODQ,I need the caffeine,NULL
vNx8KD,It tastes good,NULL
vNx8KD,I need the ritual,NULL
oAV8VN,It tastes good,NULL
oAV8VN,I need the ritual,NULL
VZ1Wxg,It tastes good,NULL
VZ1Wxg,I need the caffeine,NULL
VZ1Wxg,I need the ritual,NULL
24x9Oe,It tastes good,NULL
24x9Oe,I need the caffeine,NULL
24x9Oe,I need the ritual,NULL
KMBrO8,It tastes good,NULL
WApa1v,I need the caffeine,NULL
WApa1v,It tastes good,NULL
bl41gL,I need the caffeine,NULL
EPbovB,I need the caffeine,NULL
ylq8e8,I need the ritual,NULL
ylq8e8,I need the caffeine,NULL
ylq8e8,It tastes good,NULL
24x9ZL,It tastes good,NULL
24x9ZL,I need the ritual,NULL
MAdjGM,It tastes good,NULL
MAdjGM,I need the ritual,NULL
24x9Zj,It tastes good,NULL
24x9Zj,I need the ritual,NULL
rlr8kR,I need the caffeine,NULL
rlr8kR,It tastes good,NULL
rlr8kR,I need the ritual,NULL
rlr8kR,It makes me go to the bathroom,NULL
g5N8pl,It tastes good,NULL
g5N8pl,I need the caffeine,NULL
g5N8pl,It makes me go to the bathroom,NULL
rlr8qN,It tastes good,NULL
ylq87g,It tastes good,NULL
GrBO7Z,It tastes good,NULL
GrBO7Z,I need the caffeine,NULL
GrBO7Z,I need the ritual,NULL
GrBO7Z,It makes me go to the bathroom,NULL
NAB2Rj,It tastes good,NULL
NAB2Rj,I need the ritual,NULL
RzBqkj,It tastes good,NULL
xdN86r,It tastes good,NULL
xdN86r,I need the caffeine,NULL
xdN86r,I need the ritual,NULL
9dJArQ,I need the caffeine,NULL
EPboa4,It tastes good,NULL
WApaQN,It tastes good,NULL
WApaQN,It makes me go to the bathroom,NULL
WApaQN,I need the caffeine,NULL
WApaQN,I need the ritual,NULL
42NlN5,It tastes good,NULL
42NlN5,I need the ritual,NULL
AlbM50,It tastes good,NULL
AlbM50,I need the caffeine,NULL
AlbM50,It makes me go to the bathroom,NULL
QABNap,I need the caffeine,NULL
QABNap,I need the ritual,NULL
QABNap,It tastes good,NULL
dY2Jkd,It tastes good,NULL
RzBqr9,It tastes good,NULL
lNl89W,I need the caffeine,NULL
lNl89W,I need the ritual,NULL
lNl89W,It makes me go to the bathroom,NULL
lNl89W,It tastes good,NULL
PABZGB,I need the caffeine,NULL
PABZGB,I need the ritual,NULL
PABZGB,It makes me go to the bathroom,NULL
RzBqjj,I need the ritual,NULL
RzBqjj,It tastes good,NULL
LdM4ov,It tastes good,NULL
LdM4ov,I need the ritual,NULL
GrBO5k,It tastes good,NULL
GrBO5k,I need the ritual,NULL
ZdRbWo,It tastes good,NULL
ZdRbWo,I need the caffeine,NULL
ZdRbWo,I need the ritual,NULL
ZdRbWo,It makes me go to the bathroom,NULL
AlbMQD,It tastes good,NULL
AlbMQD,I need the ritual,NULL
42NlqX,It tastes good,NULL
42NlqX,I need the ritual,NULL
24x9D9,It tastes good,NULL
24x9D9,I need the ritual,NULL
oAV81V,I need the caffeine,NULL
oAV81V,It tastes good,NULL
QABNE7,It tastes good,NULL
QABNE7,I need the caffeine,NULL
QABNE7,I need the ritual,NULL
6dQ6QN,It tastes good,NULL
6dQ6QN,I need the caffeine,NULL
KMBrkV,It tastes good,NULL
g5N8NJ,It tastes good,NULL
g5N8NJ,I need the caffeine,NULL
g5N8NJ,I need the ritual,NULL
g5N8NJ,It makes me go to the bathroom,NULL
aBrpab,I need the caffeine,NULL
aBrpab,It makes me go to the bathroom,NULL
aBrpab,It tastes good,NULL
OABxVR,NULL,NULL
aBrpPq,NULL,NULL
bl41vZ,I need the caffeine,NULL
bl41vZ,It tastes good,NULL
oAV8kO,NULL,NULL
qbE8NG,It tastes good,NULL
qbE8NG,I need the caffeine,NULL
eBxgoe,It tastes good,NULL
eBxgoe,I need the ritual,NULL
eBxgoe,It makes me go to the bathroom,NULL
aBrpkB,I need the caffeine,NULL
aBrpkB,It tastes good,NULL
aBrpkB,I need the ritual,NULL
vNx8g0,It tastes good,NULL
vNx8g0,I need the caffeine,NULL
vNx8g0,I need the ritual,NULL
vNx8g0,It makes me go to the bathroom,NULL
NAB2Ol,I need the caffeine,NULL
NAB2Ol,It tastes good,NULL
GrBObk,It tastes good,NULL
GrBObk,I need the ritual,NULL
GrBObk,I need the caffeine,NULL
kYR8x1,It tastes good,NULL
kYR8x1,I need the caffeine,NULL
kYR8x1,I need the ritual,NULL
g5N8z4,It tastes good,NULL
g5N8z4,I need the caffeine,NULL
lNl8zv,It tastes good,NULL
lNl8zv,I need the caffeine,NULL
lNl8zv,I need the ritual,NULL
jB98z4,It tastes good,NULL
jB98z4,I need the ritual,NULL
RzBqVj,It tastes good,NULL
BGbJ6Q,It tastes good,NULL
BGbJ6Q,I need the ritual,NULL
5dqagd,NULL,NULL
QABN8Y,It tastes good,NULL
24x9o9,It tastes good,NULL
24x9o9,I need the ritual,NULL
BGbJ9Q,It tastes good,NULL
BGbJ9Q,I need the caffeine,NULL
PABZrV,It tastes good,NULL
lNl84k,It tastes good,NULL
lNl84k,I need the ritual,NULL
rlr8YR,It tastes good,NULL
rlr8YR,I need the caffeine,NULL
rlr8YR,I need the ritual,NULL
zKQ8L0,It tastes good,NULL
zKQ8L0,I need the ritual,NULL
zKQ8L0,It makes me go to the bathroom,NULL
zKQ8L0,I need the caffeine,NULL
NAB2El,I need the caffeine,NULL
NAB2El,I need the ritual,NULL
NAB2El,It tastes good,NULL
9dJAMV,It tastes good,NULL
9dJAMV,I need the ritual,NULL
YZz79J,It tastes good,NULL
YZz79J,I need the caffeine,NULL
5dqaod,I need the ritual,NULL
5dqaod,I need the caffeine,NULL
5dqaod,It tastes good,NULL
5dqaod,It makes me go to the bathroom,NULL
GrBOgp,It tastes good,NULL
GrBOgp,I need the ritual,NULL
dY2Jgo,It tastes good,NULL
dY2Jgo,I need the caffeine,NULL
AlbMAe,It tastes good,NULL
XeB6d4,It tastes good,NULL
XeB6d4,I need the caffeine,NULL
QABNX8,It tastes good,NULL
1r2QBp,It tastes good,NULL
1r2QBp,I need the ritual,NULL
VZ1WY6,It tastes good,NULL
VZ1WY6,I need the ritual,NULL
LdM4Vv,It tastes good,NULL
6dQ6MJ,It tastes good,NULL
6dQ6MJ,I need the caffeine,NULL
6dQ6MJ,I need the ritual,NULL
oAV8vx,It tastes good,NULL
oAV8vx,I need the caffeine,NULL
oAV8vx,I need the ritual,NULL
oAV8gP,It tastes good,NULL
oAV8gP,I need the caffeine,NULL
EPboJ2,It tastes good,Fun and devirse
EPboJ2,I need the ritual,Fun and devirse
EPboJ2,It makes me go to the bathroom,Fun and devirse
EPboJ2,Other,Fun and devirse
MAdjVA,It tastes good,NULL
MAdjVA,I need the caffeine,NULL
EPboEX,It tastes good,NULL
EPboEX,I need the caffeine,NULL
6dQ64k,It tastes good,NULL
6dQ64k,I need the caffeine,NULL
NAB240,It tastes good,NULL
pLPYzB,It tastes good,NULL
OABxEg,It tastes good,NULL
NAB2gB,It tastes good,NULL
NAB2gB,I need the ritual,NULL
vNx8vQ,It tastes good,NULL
vNx8vQ,I need the caffeine,NULL
vNx8vQ,I need the ritual,NULL
LdM4yj,NULL,NULL
qbE8k9,I need the caffeine,NULL
qbE8k9,It tastes good,NULL
qbE8v9,It tastes good,NULL
qbE8v9,It makes me go to the bathroom,NULL
dY2J8d,It tastes good,NULL
jB98Yx,I need the caffeine,NULL
rlr8gN,It tastes good,NULL
rlr8gN,I need the ritual,NULL
rlr8gN,It makes me go to the bathroom,NULL
XeB6Ng,It tastes good,NULL
XeB6Ng,I need the ritual,NULL
OABx97,I need the caffeine,NULL
OABx97,It tastes good,NULL
42NlEX,It tastes good,NULL
42NlEX,I need the ritual,NULL
LdM4al,It tastes good,NULL
ZdRbDB,It tastes good,NULL
6dQ6Vk,It tastes good,NULL
8dpbVx,It tastes good,NULL
8dpbVx,I need the caffeine,NULL
6dQ65P,It tastes good,NULL
6dQ65P,I need the caffeine,NULL
6dQ65P,I need the ritual,NULL
1r2Q6l,It tastes good,NULL
1r2Q6l,I need the caffeine,NULL
1r2Q6l,I need the ritual,NULL
7d97MR,It tastes good,NULL
7d97MR,I need the caffeine,NULL
ylq8GB,It tastes good,NULL
ylq8GB,I need the ritual,NULL
ylq8GB,It makes me go to the bathroom,NULL
kYR8p1,It tastes good,NULL
kYR8p1,I need the ritual,NULL
8dpbgx,It tastes good,NULL
8dpbgx,I need the caffeine,NULL
8dpbgx,I need the ritual,NULL
8dpbgx,It makes me go to the bathroom,NULL
VZ1Wqg,It tastes good,NULL
VZ1Wqg,I need the caffeine,NULL
VZ1Wqg,I need the ritual,NULL
WApaBa,It tastes good,Support local business
WApaBa,I need the caffeine,Support local business
WApaBa,I need the ritual,Support local business
WApaBa,Other,Support local business
dY2J1q,It tastes good,NULL
dY2J1q,I need the ritual,NULL
vNx8W0,It tastes good,NULL
5dqaOo,It tastes good,NULL
5dqaOo,I need the caffeine,NULL
QABNWp,It tastes good,NULL
QABNWp,I need the ritual,NULL
ZdRbQo,It tastes good,NULL
ZdRbQo,I need the ritual,NULL
NAB2yB,It tastes good,NULL
