submission_id,where_drink
MAd2V0,At home
8dpbGk,"At home, At a cafe"
zKQ8ja,"At the office, At home"
YZzBLJ,At home
QABNdl,At home
8dpbko,At home
XeB6Ee,"At home, At the office"
KMBroK,"At home, On the go"
24x9rg,At home
dY2JjD,"At the office, At home"
LdMjyz,At home
9dJYM1,"At home, At the office, On the go, At a cafe"
kYR4rj,"At home, At the office, At a cafe, On the go"
pLPN7q,"At home, At a cafe"
6dQ0eO,"At the office, At home"
42NlLd,"At home, At a cafe"
LdMxaj,"At home, At a cafe"
BGbJZ4,At home
J2kER7,"At home, At the office"
eBxgQO,None of these
J2kELz,At home
LdMjqJ,On the go
oAVNeM,At home
oAVZ95,"At home, At the office"
eBxGvE,"At home, On the go, At a cafe, At the office"
g5NPYO,"At a cafe, At the office, On the go, At home"
xdNbxo,"At home, At a cafe"
zKQ8ZZ,"At home, On the go, At a cafe, At the office"
rlrQxl,"At the office, At home, At a cafe"
VZ1W8N,"At home, At a cafe"
WAp6PN,"At the office, At home, At a cafe, On the go"
DVvo9l,"On the go, At home"
ylqAdB,At home
rlrQP2,"At the office, At home"
EPbo0L,"At the office, At home, On the go"
ylqAY6,"At home, At a cafe"
AlbR7B,At home
EPbVxA,"At a cafe, At home"
BGboo4,"At home, At a cafe"
dY2GGD,On the go
oAV8o5,At home
WApa9N,At the office
BGbJE5,None of these
0EjzA9,"On the go, At home, At a cafe"
vNx6YX,"At home, On the go, At the office"
WApaAQ,At home
J2krZX,"At the office, At home"
oAVN6V,At home
VZ1WVN,"At home, At a cafe"
42Nlko,"At the office, At home"
RzBq4P,At home
1r2QM4,"At home, At a cafe"
LdM4d2,"At the office, On the go"
42N0dB,"At the office, At a cafe"
jB98M9,At home
1r205O,At home
5dq0yE,"At the office, At home, On the go"
YZzb4N,At home
QABq7Y,At home
PABQDd,At home
9dJY7E,"At home, At a cafe, At the office"
24xYgM,"At home, At the office"
KMB25K,At home
RzBqzP,"At home, At the office"
GrBEvo,"At home, At a cafe, At the office"
rlrQrv,"At home, On the go"
LdMxpz,"At the office, At home, On the go"
ZdRblA,At home
bl4My7,At home
XeB72d,"At home, At a cafe, On the go"
zKQBXq,"At home, At a cafe"
rlr9Yv,"At the office, At home"
dY2GNy,"At home, At a cafe"
zKQA18,"On the go, At home"
ZdRAAV,"At home, On the go"
VZ17Ev,"At a cafe, At the office, At home"
NAB2Ab,"At a cafe, At home"
rlr9yM,"At home, At the office"
5dqYbv,At home
AlbRKW,"At a cafe, At the office, At home"
ylqb6X,"At the office, At home"
dY2o6d,"At the office, On the go, At a cafe, At home"
dY2oKz,"At the office, At home"
oAVN61,"At home, At a cafe, At the office, On the go"
rlr9yv,At home
kYR4Nr,"At home, At a cafe, On the go, At the office"
zKQ4kq,At home
RzBeoP,At home
24xYJL,"At home, At a cafe"
ZdRAWA,"At home, At the office"
rlr9OL,"At home, At a cafe"
PABQdQ,"At the office, At home, On the go"
1r20NQ,"At the office, At a cafe, At home"
qbEqj2,"At home, At the office"
g5NV9P,"At home, At the office"
42NY8Y,"At home, At the office"
GrBVJp,At home
7d90RL,"At home, At a cafe"
lNl8WV,"At the office, At a cafe"
vNxaEA,"At a cafe, On the go, At home"
0EjY5P,At home
eBxO5q,At home
blx47Z,"At home, At a cafe, At the office"
lNlXyB,At the office
1r2Yx4,At home
1r20WM,At home
J2krad,At home
DVvo05,"At home, On the go"
VZ1aJj,At home
42N0ab,
aBrJxZ,At home
9dJ0qG,At home
PABN1x,At home
8dpDDk,"At a cafe, At home"
qA2y0O,"At home, At a cafe, On the go"
V0ELg6,At home
zKQ8Qg,At home
VZ1WYN,At home
jB98W1,"At the office, At home"
24x9Rj,
rlr82o,"At a cafe, At home, At the office, On the go"
QABNj7,"At home, At the office"
vNx8El,At home
jB98WY,"At the office, At home, On the go"
LdM4Op,At home
qbE8gG,At home
bl41zZ,At home
xdN8yk,"At home, At the office"
rlr8LX,"At home, On the go"
jB98ga,At home
pLPY01,At home
GrBODO,At home
7d97a0,At home
WApale,"At home, At the office"
0EjqlN,"At home, On the go, At the office"
oAV8dN,At home
0Ejqaj,At home
5dqaeZ,"At home, At a cafe"
g5N8v4,"At the office, At home"
oAV8lb,At home
AlbMyz,At home
jB9871,At home
9dJA2E,At home
PABZBx,"At the office, At home"
DVvRWR,At home
dY2JDV,"At home, At a cafe, At the office"
bl41Y1,"At home, At the office"
rlr8vR,"At home, On the go"
xdN89d,"At home, At a cafe"
kYR8Jo,At home
YZz7xW,At home
RzBq29,At home
24x9DD,"At a cafe, At home"
rlr8k2,"At home, On the go"
7d97ER,At home
GrBOBO,At home
42NlPr,"At a cafe, At the office, On the go, At home"
XeB6OP,"At home, On the go, At the office, At a cafe"
VZ1W4y,"At home, At the office, At a cafe"
kYR8ve,"At the office, At home"
YZz7oN,"At the office, At home"
OABxYM,"At home, At the office, On the go"
xdN8lv,At the office
eBxgYk,"At home, At a cafe"
RzBqj9,At home
1r2QGg,At home
pLPYZJ,At home
MAdj6k,"At home, At a cafe"
OABxER,At home
BGbJ0K,At home
qbE8jO,"At home, At the office"
kYR8ze,"At the office, At a cafe"
GrBODQ,"At the office, At home"
vNx8KD,"At the office, At home"
oAV8VN,At home
VZ1Wxg,"At the office, On the go, At home"
24x9Oe,"At home, At a cafe, On the go, At the office"
KMBrO8,"At home, At the office"
WApa1v,At home
bl41gL,"At home, At a cafe, At the office"
EPbovB,On the go
ylq8e8,"At home, At the office"
24x9ZL,"At home, At the office"
MAdjGM,At home
24x9Zj,At home
rlr8kR,"At the office, At home, At a cafe"
g5N8pl,"At the office, At home"
rlr8qN,At the office
ylq87g,At home
GrBO7Z,At home
NAB2Rj,"At home, At a cafe"
RzBqkj,At home
xdN86r,At home
9dJArQ,At the office
EPboa4,At home
WApaQN,At a cafe
42NlN5,"At home, At a cafe"
AlbM50,"At a cafe, At the office, On the go, At home"
QABNap,"At the office, On the go, At home"
dY2Jkd,At home
RzBqr9,"At a cafe, At home"
lNl89W,At the office
PABZGB,"At home, On the go, At a cafe"
RzBqjj,"At home, On the go, At a cafe"
LdM4ov,At home
GrBO5k,At home
ZdRbWo,"At the office, At home"
AlbMQD,"At home, On the go"
42NlqX,"At the office, At home"
24x9D9,"At home, At the office"
oAV81V,At home
QABNE7,"At home, On the go"
6dQ6QN,"At the office, On the go, At home"
KMBrkV,At home
g5N8NJ,"At home, At a cafe, At the office"
aBrpab,"At a cafe, At the office"
OABxVR,
aBrpPq,"At home, At a cafe"
bl41vZ,At home
oAV8kO,"At home, On the go"
qbE8NG,"At home, At the office"
eBxgoe,"At the office, At home, At a cafe"
aBrpkB,"At the office, At a cafe, On the go, At home"
vNx8g0,"At home, At the office, At a cafe"
NAB2Ol,"At home, On the go, At the office"
GrBObk,At home
kYR8x1,"At the office, At home"
g5N8z4,At home
lNl8zv,"At a cafe, At home"
jB98z4,"At home, At the office"
RzBqVj,At home
BGbJ6Q,"At the office, At home"
5dqagd,"At the office, On the go, At home"
QABN8Y,At home
24x9o9,"At home, At the office"
BGbJ9Q,"At the office, At a cafe, At home, On the go"
PABZrV,At home
lNl84k,"On the go, At home"
rlr8YR,At home
zKQ8L0,"At home, At the office, At a cafe"
NAB2El,"At home, On the go, At a cafe"
9dJAMV,At home
YZz79J,"At home, At a cafe"
5dqaod,At home
GrBOgp,At home
dY2Jgo,"At home, On the go, At the office"
AlbMAe,At home
XeB6d4,At home
QABNX8,At home
1r2QBp,"At home, At the office"
VZ1WY6,"At home, At a cafe"
LdM4Vv,At home
6dQ6MJ,At home
oAV8vx,"At home, At the office"
oAV8gP,At home
EPboJ2,"At the office, At home, On the go"
MAdjVA,"At the office, On the go, At home"
EPboEX,At home
6dQ64k,"At the office, At home, At a cafe"
NAB240,At home
pLPYzB,At home
OABxEg,At home
NAB2gB,"At home, At the office"
vNx8vQ,"At home, At the office"
LdM4yj,At home
qbE8k9,"At home, On the go, At the office"
qbE8v9,"At the office, At home"
dY2J8d,At home
jB98Yx,On the go
rlr8gN,"At home, At the office"
XeB6Ng,At home
OABx97,"At home, At a cafe"
42NlEX,"At home, At a cafe"
LdM4al,At the office
ZdRbDB,At home
6dQ6Vk,"At home, At a cafe, On the go, At the office"
8dpbVx,At home
6dQ65P,At home
1r2Q6l,At home
7d97MR,"At home, On the go"
ylq8GB,"At a cafe, At home"
kYR8p1,"At home, At the office"
8dpbgx,"At home, At the office"
VZ1Wqg,"At home, At a cafe"
WApaBa,"At home, At a cafe"
dY2J1q,At home
vNx8W0,"At home, At a cafe"
5dqaOo,At a cafe
QABNWp,At home
ZdRbQo,"At home, At the office"
NAB2yB,At the office
oAV81e,At home
PABZYx,"At a cafe, At home, At the office"
PABZWb,At home
XeB6v4,At home
9dJAxQ,At home
DVvRE5,"At home, At a cafe"
lNl87X,"At home, On the go"
eBxgye,At home
aBrpgq,"At the office, At home"
OABxrR,"At home, At the office"
WApajv,At home
1r2QxQ,"At home, At the office"
AlbM9z,"At home, At the office, At a cafe"
8dpbWO,"At the office, At home, On the go, At a cafe"
7d97zA,At home
24x9zV,At home
VZ1W9j,"At home, At the office"
rlr8YN,"At home, At the office"
xdN80d,"At home, At a cafe"
1r2QgW,At home
EPbo64,At home
qbE877,At home
KMBrGV,"At home, At the office"
6dQ6WY,"At home, On the go, At a cafe"
EPboA4,At home
PABZy5,At home
ZdRbgz,At the office
EPbo6r,At home
6dQ6zB,At home
LdM4Ey,"At home, At a cafe, At the office"
ylq8gg,At home
42NlOY,"At home, At a cafe"
MAdjPM,At home
8dpb5O,At home
1r2QRl,"At home, At the office, On the go, At a cafe"
jB985Q,At home
J2kEBo,At home
eBxgvk,"At home, At a cafe"
7d97jZ,"On the go, At a cafe"
dY2JzK,"At home, On the go"
PABZe5,At home
J2kEGo,"At home, At the office"
ylq8zx,At home
WApapR,At the office
xdN8z5,"At home, At a cafe, At the office"
NAB2dj,"At the office, At home"
ylq81x,At home
vNx8zD,"At home, At a cafe, On the go, At the office"
oAV8zP,"At home, At the office, At a cafe, On the go"
QABNkG,At home
8dpbDA,At a cafe
YZz760,At home
PABZqd,"At the office, At a cafe"
oAV8LX,"At a cafe, At the office, On the go"
XeB6Pd,At home
AlbMRB,"At home, At a cafe"
jB98XR,At home
NAB2Zb,At a cafe
aBrpMy,"At the office, At home"
OABxKK,"On the go, At a cafe"
pLPYlP,"At home, At a cafe"
EPbooq,At a cafe
XeB6je,At home
PABZq0,"At home, At the office"
GrBOE2,"On the go, At home, At a cafe"
pLPYYZ,At home
GrBOVj,At home
DVvROb,At home
rlr8Z5,"At a cafe, At the office, At home, On the go"
KMBr2M,"At home, At the office"
kYR8BJ,At home
aBrpJ9,"At home, At a cafe"
bl41a0,"At home, At a cafe, At the office"
RzBqyp,At home
1r2Q0M,At home
GrBOO2,At home
jB98V6,"At home, On the go"
QABNpg,"At home, At the office"
DVvR6j,At home
xdN8q9,At home
xdN8W9,At home
9dJAzX,"At home, At the office"
rlr8ep,"At the office, At home, On the go, At a cafe"
WApa4L,"At home, At the office, On the go, At a cafe"
lNl8pV,At home
9dJAbX,"At home, At a cafe, On the go"
zKQ8A1,"At the office, At home, On the go"
QABNP1,At home
pLPYEE,At home
GrBOMQ,"At home, At a cafe"
RzBqpQ,At home
24x9MM,At home
7d9rX0,At home
YZz72z,"At a cafe, At home"
42Nl0b,At home
lNl8JX,At home
xdN8kd,At a cafe
VZ1WWE,At home
bl4QV6,At the office
LdM4xG,At home
VZ1OLj,"At the office, At home"
KMBrrk,At home
5dqaWQ,"At home, At the office, At a cafe"
NAB22W,"At the office, At home"
eBxWZx,"At home, At a cafe"
OABxOM,At home
lNl825,"At the office, At home"
EPboy2,"At home, At the office, At a cafe"
LdM48z,"At home, At the office"
KMBKYX,"At a cafe, At home, At the office, On the go"
NAB21W,"At home, On the go, At the office"
42NlMo,"At home, At a cafe"
BGbJv4,"At a cafe, At home"
rlr8No,At home
24xGEe,"At home, At the office"
lNlkBN,At home
eBxWae,At home
WApavR,"At home, At the office"
1r2o9p,At home
OABM7R,At home
aBrqOX,"At home, At a cafe"
qbE1GG,"At home, At a cafe, On the go"
8dp4aP,"At the office, At home"
0EjR7j,At home
YZz7EN,At home
OABxRk,"At a cafe, At home, On the go"
AlbMgN,At home
lNlk6k,At home
OABxWM,"At home, At the office, On the go"
xdN5Yy,At home
AlbMYB,"On the go, At home, At a cafe, At the office"
ylq5Jg,At the office
VZ1WRj,At home
jB9Ala,"At home, At a cafe"
YZzl4B,"At the office, At home"
J2kvz4,At home
oAV8W5,"At a cafe, At the office, At home"
oAVLGe,"At home, On the go"
KMBKlA,"At home, At a cafe"
6dQEDY,At home
1r2o7Q,"At home, At the office, At a cafe"
1r2oVQ,At home
0EjR8y,At home
LdMLzp,"At home, At a cafe"
LdML7p,"At a cafe, At the office, At home"
jB9Ab4,At home
aBrq4B,At the office
DVv6Nq,"At home, None of these"
DVv6pR,At home
rlrMON,"At home, On the go"
g5N6Ml,At home
NAB1oB,"At the office, At home, At a cafe"
VZ1Ojy,"At home, At a cafe, On the go"
dY2exq,"At home, At a cafe"
RzByo9,At home
rlrMoN,"At the office, At a cafe, At home"
XeBP4g,At the office
DVv6qN,At home
vNx5P0,At home
6dQEZk,"At home, At a cafe"
qbE1d7,At a cafe
bl4QeL,At home
PABJ55,At home
aBrq9b,At home
LdMLPv,"At the office, On the go, At home, At a cafe"
qbE1VY,"At home, At a cafe"
oAVLEx,"At the office, At home, At a cafe"
PABJ1V,"At the office, At a cafe, At home"
0EjR6N,"At a cafe, At the office, At home"
BGbW75,At home
8dp4L5,"At home, At the office"
GrBARZ,At home
rlrMBR,At home
J2kEvY,At home
GrBAve,"At the office, At home"
g5N6qO,"On the go, At home"
J2kvOo,"At the office, At a cafe, At home"
GrBAlp,At home
7d9r2P,At home
1r2odl,At home
J2kvdR,"At home, At a cafe"
jB9APx,At home
DVv6kZ,"At home, On the go"
xdN8Ok,"At home, On the go"
NAB1qO,At home
GrBA9Z,"At a cafe, At home"
bl4Qdg,At home
5dqPZo,"At the office, At home"
J2kEyz,"On the go, At a cafe, At home, At the office"
jB98j9,"At home, At the office"
DVv67R,"At home, On the go, At the office"
QABlV8,At home
LdMLpj,At home
42NVrX,"At home, At a cafe"
VZ1OpM,"At a cafe, At home"
42NlWr,"On the go, At a cafe, At the office, At home"
KMBKV8,At home
aBrq6q,"At home, At a cafe"
oAVLeP,At home
YZzlPW,At home
zKQ5jM,At home
XeBPJY,"At home, At the office"
kYRB61,"At home, At the office, At a cafe"
zKQ5y0,"At the office, At home, At a cafe"
RzBy5d,"At home, At a cafe"
ZdRrNy,At home
6dQE7B,"At home, On the go"
0EjRey,"On the go, At home"
QABlDp,At home
24xGB9,At home
EPb7QX,"At home, At the office"
qbE1AY,At home
RzByD9,At home
42NVQY,At home
EPb7XX,At home
Albe2z,At home
PABJ9V,At home
rlrM5R,"On the go, At home, At a cafe"
kYR8Pj,"At a cafe, At home, At the office"
J2kvqK,"At the office, At a cafe, At home"
J2kv1K,"At home, At the office"
PABJpB,At home
EPb7l4,"At the office, At home, At a cafe"
XeBP0j,"At home, On the go"
vNx5Yv,At home
NAB1WB,"At home, At the office, At a cafe"
42NV8k,"At home, At the office, At a cafe"
VZ1OQg,At home
LdMLWj,At home
LdMLKv,"At home, At the office"
zKQ5Ya,At home
pLPpoJ,At home
lNlkqv,At home
GrBO2O,"At the office, At home, At a cafe"
KMBK1A,At the office
dY2e9o,At home
9dJjQp,"At home, On the go"
QABl58,At home
BGbWk5,At home
24xGPj,"At home, At the office"
0EjRdB,"On the go, At home, At the office"
RzByPd,At home
RzBq9P,At home
PABJ65,"At the office, At home"
oAVLRP,At home
24xGPL,At home
rlr84L,"At home, At a cafe"
VZ1O0v,"At home, At the office, At a cafe"
8dp4xO,At home
bl4QWL,At home
qbE1a9,At home
VZ1O5J,"On the go, At home"
rlrMPl,"At home, At a cafe"
EPb7XN,At home
dY2e0o,At home
lNlkyB,"At home, On the go, At a cafe, At the office"
BGbJo7,"At home, At the office, At a cafe"
xdN5ay,"At home, At a cafe, At the office, On the go"
GrBAdp,At the office
BGbWxQ,At home
MAdpzp,"At home, At a cafe, On the go, At the office"
RzBy0J,"At the office, At home"
PABJ1e,At home
XeBPWj,"At the office, At a cafe, At home"
g5N6Gl,"At a cafe, At home, At the office"
jB9AZJ,"At home, On the go, At a cafe, At the office"
g5N6e4,"At the office, At home, At a cafe"
0Ejq9Q,"At home, At a cafe"
xdN8EG,"At home, At the office"
zKQ5Da,"At home, On the go, At a cafe"
xdN5Xv,"At home, At a cafe"
24xGAj,"At home, At a cafe"
lNl8j5,"At a cafe, At home"
YZz7Nv,At home
VZ1OEj,"At a cafe, At home, On the go"
oAVLAV,"At home, At the office"
vNx52A,
bl4Qlo,At home
PABJ0Q,"At a cafe, At home"
42NVkO,"At home, At the office"
9dJjdY,At home
WApV0J,At the office
1r2oEM,At home
jB9AME,"At home, At a cafe"
GrBAro,At home
KMBK67,At home
xdN5QG,"At home, At the office"
XeBPe4,At home
8dp4kx,At home
EPb71N,At home
qbE1Wd,At home
eBxWBO,"At home, At the office"
6dQExe,At home
24xGrp,"At home, At a cafe"
0EjRbQ,"At home, On the go"
5dqP2M,At home
QABlrg,At home
xdN5Qo,At home
MAdpJg,At a cafe
vNx5AQ,At the office
YZzldq,"On the go, At home, At a cafe"
RzByYp,"At home, At a cafe, At the office"
zKQ5zq,At home
5dqPkd,At home
dY2eZN,At home
1r2ovO,At home
PABJB0,On the go
AlbeDW,"On the go, At a cafe, At the office, At home"
GrBA1o,"At home, At a cafe, On the go"
6dQE15,"At a cafe, At home, At the office"
LdMLG1,"At home, At the office, On the go"
LdML0G,"At home, On the go"
zKQ5Kq,"At home, At a cafe"
J2kvJY,At home
rlrMVM,"At home, At a cafe"
DVv6eb,"At home, At a cafe"
5dqPdd,At home
RzByLl,"At home, At the office, At a cafe"
5dqPvP,At home
YZzlV0,"At the office, At a cafe, At home"
vNx54A,"At home, At the office"
XeBPG4,At home
jB9ABE,"At the office, At home, At a cafe"
PABJ8P,At home
RzBy4J,"At home, At a cafe"
jB9AxR,"At home, At the office"
dY2eYA,"On the go, At home"
0EjRJ0,"At home, At the office, At a cafe"
PABJvP,At home
DVv60p,At home
rlrMKv,"At home, At a cafe"
9dJjJ4,"At home, On the go, At a cafe"
oAVL0M,"At a cafe, At home"
vNx5Od,"On the go, At the office"
QABlYA,At home
24xGkp,At home
7d9roL,"At the office, At home, At a cafe"
lNlkNW,At home
g5N64N,At home
g5N65d,At home
7d9rdA,"At home, At a cafe"
lNlkL5,"At home, At a cafe"
rlrMKM,At home
0EjRoQ,"At home, At the office, At a cafe, On the go"
GrBA1j,"At a cafe, At the office, At home"
qbE1b7,"At home, At a cafe"
oAVLVM,At home
RzByRl,At home
g5N6QK,"At home, At a cafe, On the go"
GrBAYz,At home
QABlBk,"At the office, At home"
vNx5NQ,"At the office, At home, At a cafe"
6dQEro,"At home, At a cafe"
eBxWNo,"At home, At the office"
NAB1MN,"At home, At a cafe"
dY2eDy,At home
MAdpvE,At home
MAdp5Y,At home
9dJjE1,"At home, At a cafe"
PABJ20,"At home, At the office, At a cafe"
8dp4eA,"At the office, At home, At a cafe"
DVv65b,At home
qbE1o8,At home
OABMBA,At the office
oAVLlM,At home
5dqPEb,"At home, At the office, At a cafe"
6dQEOO,At home
jB9A99,"At the office, At home"
7d9r46,"At home, At a cafe"
qbE1Yk,At home
pLPpWZ,At home
VZ1Olv,"At home, At a cafe"
OABMJp,"At a cafe, At home, At the office"
aBrqry,"At home, On the go, At a cafe"
7d9r9z,At home
oAVLl5,At home
aBrqZW,At home
lNlk06,At home
ZdRrGv,"At home, At a cafe"
xdN5ZG,"At home, At a cafe"
lNlkYV,"At home, At the office, At a cafe"
VZ1OME,At home
rlrMrL,"At home, At a cafe"
42NVAd,At home
jB9AJ1,"At home, At a cafe"
rlrMr5,"At the office, At home, On the go, At a cafe"
WApVpQ,"At home, At the office"
ZdRrvA,"At home, At a cafe"
8dp4dx,At home
vNx5JX,At home
zKQ5e1,None of these
lNlkKV,At home
rlrMJX,At home
8dp4PY,"At home, At the office"
LdMLaz,"At home, At the office, At a cafe"
rlrM0L,At home
PABJBd,"At home, At a cafe"
NAB1Rp,At home
42NV9d,"At home, At a cafe, At the office"
jB9A76,"At the office, At home"
OABMLK,At home
GrBABz,At home
YZzlY6,"At home, At a cafe"
YZzlo0,At home
g5N671,"At a cafe, At home"
qbE1k5,At the office
7d9r16,At a cafe
24xGkV,At home
BGbWA4,At the office
rlrMJp,"At home, At a cafe"
bl4Qr2,"At home, At a cafe"
aBrqDE,At home
YZzlrq,"At home, At a cafe"
VZ1O9l,At home
EPb7Lo,At the office
jB9A09,"At the office, At home"
GrBAL2,"At home, At the office"
EPb7Z2,At home
EPb7vA,At home
42NVPo,"At a cafe, At home"
g5N6JM,At home
9dJj2K,At the office
xdN5Rk,"At a cafe, At home, At the office, On the go"
24xGvA,"At the office, On the go, At home, At a cafe"
AlbeWo,"On the go, At the office, At home"
ZdRrza,At home
qbE1Ek,At home
1r2oN4,"On the go, At the office, At home"
VZ1ObN,"At home, At the office, At a cafe"
24xGxA,At home
pLPpRy,"At home, At the office"
J2kvk7,At home
oAVL55,At home
lNlkWp,At home
QABl8l,"At the office, At home, At a cafe, On the go"
eBxWxo,None of these
eBxW2E,At home
rlrMd5,At home
8dp4Ak,At home
RzByvv,At home
rlrM2p,At home
24xG1g,"At the office, On the go"
EPb7BL,"At home, On the go, At a cafe, At the office"
eBxWKJ,At home
zKQ5J8,At home
ZdRrZ5,"At home, At the office"
1r2o2L,At home
xdN599,"At home, At the office"
YZzlpz,At home
bl4Q82,At a cafe
PABJ80,At home
24xGOb,"At home, On the go, At the office"
5dqPGP,At home
bl4Q4E,"At home, On the go"
KMBKBK,At home
DVv6Jj,At home
eBxW7E,"At home, At the office"
GrBAoz,At home
EPb70o,"At home, At a cafe"
kYRBJd,At the office
J2kv2d,At home
OABMdk,"At the office, At home, At a cafe, On the go"
LdMLvz,At home
0EjRv0,"At home, At the office, On the go"
VZ1OZv,At home
5dqPLM,At home
LdMLXG,"At the office, At home, At a cafe, On the go"
RzByZP,At home
42NVvB,"At the office, At a cafe"
GrBAqO,"On the go, At home, At the office, At a cafe"
BGbWj4,"At the office, At a cafe"
BGbWB7,At home
ylq5o6,"At home, At a cafe, At the office"
J2kvLJ,At home
42NVjb,At home
bl4Q2E,At home
5dqPev,"At home, At a cafe"
6dQEvO,At home
jB9ALR,"At home, At the office, At a cafe, On the go"
9dJjpK,At home
LdMLE2,At the office
xdN54E,At the office
J2kvV7,"At the office, At home, At a cafe"
8dp46k,"At home, At a cafe"
1r2oD4,At home
bl4QK0,"At the office, At home, At a cafe"
DVv6AX,"At a cafe, At the office, At home"
QABlxk,"At home, At the office, At a cafe, On the go"
aBrqjy,"At home, At a cafe"
XeBP1e,"At the office, At home"
qbE1P2,"At home, At a cafe, At the office"
9dJjlG,"At home, At the office"
WApVPJ,"At a cafe, At home, On the go, At the office"
jB9A5Y,"At home, At the office"
OABMjA,"On the go, At the office, At home"
DVv6V5,"At home, At the office"
XeBPMd,"At home, At a cafe"
6dQEAo,At home
jB9AG9,"At home, On the go, At the office"
pLPpVV,"At home, At a cafe"
rlrMYo,At home
5dqPpQ,At home
rlrMbN,At home
zKQ51g,"At a cafe, At home, At the office"
7d9rp2,At the office
5dqPMQ,"At the office, At home"
9dJjrE,"At home, At a cafe"
MAdp78,At the office
kYRBpo,On the go
pLPpz1,"At a cafe, At home"
KMBKgX,At the office
QABlk1,None of these
XeBPzz,At home
8dp4gP,At home
PABJ41,At home
QABlO1,At home
RzByjK,At home
kYRBrr,At home
PABJGx,At home
vNx5gl,"At home, At a cafe"
eBxWzx,"At home, At a cafe"
WApVZe,"At a cafe, On the go, At home"
Albeae,At home
lNlkMX,At home
OABMVa,"At home, At a cafe"
XeBP2z,At home
eBxWpl,"At the office, At home"
EPb7gB,At home
RzBy2K,"At home, At the office"
1r2oBg,At home
GrBAjZ,"At home, At the office"
KMBKaD,At home
ZdRrQV,At home
1r2oRg,At home
kYRBkZ,"At home, At a cafe"
oAVLzb,"At home, At a cafe, At the office"
aBrqzZ,At home
rlrMvX,"At home, At the office"
EPb76l,At home
24xGDM,At home
7d9rPa,At the office
DVv69R,"At home, At a cafe"
42NVdA,"At home, At a cafe, At the office"
g5N6OP,"At home, At a cafe"
J2kvZR,At home
RzBylj,"At home, On the go, At a cafe"
qbE1zO,"At home, At the office"
jB9AEQ,At home
xdN5ov,"At home, At a cafe"
9dJja5,At home
EPb7N2,At home
