submission_id,why_drink
oAV8d5,"It tastes good, I need the caffeine, I need the ritual"
oAV8OM,"It tastes good, I need the ritual"
AlbYyW,"It tastes good, I need the caffeine"
KMB4kk,"It tastes good, I need the caffeine"
42N0Kd,"It tastes good, I need the caffeine, I need the ritual"
0Ej0VZ,"I need the caffeine, It tastes good"
rlrQQo,"It tastes good, I need the caffeine, I need the ritual"
vNx84X,It tastes good
OABxLk,It tastes good
MAd2V0,It tastes good
8dpbGk,"It tastes good, I need the caffeine, I need the ritual"
zKQ8ja,"It tastes good, I need the ritual"
YZzBLJ,I need the caffeine
QABNdl,"It tastes good, I need the caffeine"
8dpbko,"It tastes good, I need the ritual"
XeB6Ee,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom"
KMBroK,It tastes good
24x9rg,"I need the caffeine, I need the ritual, It tastes good"
dY2JjD,I need the ritual
LdMjyz,It tastes good
9dJYM1,"It tastes good, I need the ritual"
kYR4rj,"I need the ritual, It tastes good"
pLPN7q,It tastes good
6dQ0eO,It tastes good
42NlLd,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom"
LdMxaj,"It tastes good, I need the ritual"
BGbJZ4,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom"
J2kER7,"It tastes good, I need the caffeine, I need the ritual"
eBxgQO,Other
J2kELz,It tastes good
LdMjqJ,"It tastes good, I need the caffeine, I need the ritual"
oAVNeM,"It tastes good, I need the caffeine"
oAVZ95,"It tastes good, I need the ritual"
eBxGvE,"It tastes good, I need the caffeine"
g5NPYO,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom"
xdNbxo,"It tastes good, I need the caffeine"
zKQ8ZZ,"It tastes good, I need the caffeine, I need the ritual"
rlrQxl,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom"
VZ1W8N,"It tastes good, I need the ritual, I need the caffeine, It makes me go to the bathroom"
WAp6PN,"It tastes good, I need the caffeine, I need the ritual"
DVvo9l,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom"
ylqAdB,"It tastes good, I need the caffeine"
rlrQP2,
EPbo0L,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom, Other"
ylqAY6,It tastes good
AlbR7B,It tastes good
EPbVxA,It tastes good
BGboo4,"It tastes good, I need the caffeine"
dY2GGD,"It tastes good, I need the caffeine"
oAV8o5,"It tastes good, I need the ritual"
WApa9N,It makes me go to the bathroom
BGbJE5,I need the caffeine
0EjzA9,"It tastes good, I need the caffeine, I need the ritual"
vNx6YX,"It tastes good, I need the caffeine"
WApaAQ,"It tastes good, I need the ritual"
J2krZX,"It tastes good, I need the caffeine"
oAVN6V,"It tastes good, I need the caffeine"
VZ1WVN,"It tastes good, I need the caffeine"
42Nlko,"It tastes good, I need the caffeine, I need the ritual"
RzBq4P,It tastes good
1r2QM4,It tastes good
LdM4d2,"It tastes good, I need the caffeine"
42N0dB,"I need the caffeine, It tastes good"
jB98M9,It tastes good
1r205O,"It tastes good, I need the ritual"
5dq0yE,"It tastes good, I need the ritual"
YZzb4N,It tastes good
QABq7Y,"I need the ritual, It tastes good"
PABQDd,"It tastes good, I need the ritual"
9dJY7E,"It tastes good, I need the caffeine, I need the ritual"
24xYgM,"It tastes good, I need the ritual, I need the caffeine"
KMB25K,It tastes good
RzBqzP,
GrBEvo,"It tastes good, I need the ritual"
rlrQrv,"It tastes good, I need the caffeine"
LdMxpz,"It tastes good, I need the caffeine, I need the ritual"
ZdRblA,"I need the ritual, It tastes good"
bl4My7,"It tastes good, I need the ritual, It makes me go to the bathroom, I need the caffeine"
XeB72d,"It tastes good, I need the caffeine"
zKQBXq,"It tastes good, I need the ritual, I need the caffeine"
rlr9Yv,"It tastes good, I need the caffeine"
dY2GNy,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom"
zKQA18,"I need the caffeine, It tastes good, I need the ritual"
ZdRAAV,"It tastes good, I need the ritual"
VZ17Ev,"I need the caffeine, I need the ritual, It tastes good"
NAB2Ab,"It tastes good, I need the ritual"
rlr9yM,"It tastes good, I need the ritual, I need the caffeine"
5dqYbv,"It tastes good, I need the caffeine"
AlbRKW,"It tastes good, I need the caffeine, I need the ritual"
ylqb6X,It tastes good
dY2o6d,
dY2oKz,It tastes good
oAVN61,"It tastes good, I need the caffeine, I need the ritual"
rlr9yv,"It tastes good, I need the ritual"
kYR4Nr,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom"
zKQ4kq,"It tastes good, I need the caffeine"
RzBeoP,It tastes good
24xYJL,"I need the ritual, It tastes good"
ZdRAWA,"It tastes good, I need the caffeine, I need the ritual"
rlr9OL,"It tastes good, I need the ritual"
PABQdQ,"It tastes good, I need the caffeine"
1r20NQ,"It tastes good, I need the ritual"
qbEqj2,"It tastes good, I need the caffeine, I need the ritual"
g5NV9P,"It tastes good, I need the caffeine"
42NY8Y,"It tastes good, I need the caffeine"
GrBVJp,"It tastes good, I need the caffeine, I need the ritual"
7d90RL,It tastes good
lNl8WV,"It tastes good, I need the caffeine"
vNxaEA,"It tastes good, I need the caffeine"
0EjY5P,"It tastes good, I need the ritual"
eBxO5q,It tastes good
blx47Z,
lNlXyB,"I need the ritual, I need the caffeine, It tastes good, Other"
1r2Yx4,"It tastes good, I need the caffeine, I need the ritual"
1r20WM,"It tastes good, I need the ritual, I need the caffeine"
J2krad,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom"
DVvo05,"It tastes good, I need the ritual"
VZ1aJj,"It tastes good, I need the ritual, I need the caffeine"
42N0ab,
aBrJxZ,"It tastes good, I need the ritual"
9dJ0qG,"It tastes good, I need the caffeine, I need the ritual"
PABN1x,"It tastes good, I need the ritual"
8dpDDk,"It tastes good, I need the caffeine, I need the ritual"
qA2y0O,
V0ELg6,
zKQ8Qg,
VZ1WYN,"It tastes good, I need the ritual, I need the caffeine"
jB98W1,
24x9Rj,
rlr82o,
QABNj7,
vNx8El,
jB98WY,"It tastes good, I need the ritual"
LdM4Op,
qbE8gG,
bl41zZ,
xdN8yk,"It tastes good, I need the caffeine, I need the ritual"
rlr8LX,It tastes good
jB98ga,
pLPY01,
GrBODO,It tastes good
7d97a0,"It tastes good, I need the ritual"
WApale,"It tastes good, I need the caffeine"
0EjqlN,
oAV8dN,It tastes good
0Ejqaj,
5dqaeZ,"It tastes good, I need the caffeine"
g5N8v4,"I need the ritual, It tastes good"
oAV8lb,It tastes good
AlbMyz,
jB9871,"I need the caffeine, It tastes good"
9dJA2E,"I need the caffeine, It tastes good"
PABZBx,"It tastes good, I need the ritual, It makes me go to the bathroom"
DVvRWR,"It tastes good, I need the ritual"
dY2JDV,"It tastes good, I need the caffeine"
bl41Y1,"I need the ritual, It tastes good"
rlr8vR,"It tastes good, I need the caffeine"
xdN89d,"It tastes good, I need the caffeine, I need the ritual"
kYR8Jo,"It tastes good, I need the caffeine, I need the ritual"
YZz7xW,"I need the ritual, It tastes good, It makes me go to the bathroom"
RzBq29,
24x9DD,
rlr8k2,It tastes good
7d97ER,"It tastes good, I need the ritual"
GrBOBO,"It tastes good, I need the caffeine, I need the ritual"
42NlPr,It tastes good
XeB6OP,"It tastes good, I need the caffeine, I need the ritual"
VZ1W4y,"I need the ritual, It tastes good"
kYR8ve,"It tastes good, I need the caffeine, I need the ritual"
YZz7oN,"It tastes good, I need the ritual"
OABxYM,"It tastes good, I need the caffeine, I need the ritual"
xdN8lv,"It tastes good, I need the caffeine, I need the ritual"
eBxgYk,"It tastes good, I need the caffeine"
RzBqj9,"It tastes good, I need the caffeine"
1r2QGg,It tastes good
pLPYZJ,
MAdj6k,"It tastes good, I need the ritual"
OABxER,"It tastes good, I need the caffeine, I need the ritual"
BGbJ0K,"It tastes good, I need the caffeine, It makes me go to the bathroom"
qbE8jO,It tastes good
kYR8ze,It tastes good
GrBODQ,"It tastes good, I need the ritual, I need the caffeine"
vNx8KD,"It tastes good, I need the ritual"
oAV8VN,"It tastes good, I need the ritual"
VZ1Wxg,"It tastes good, I need the caffeine, I need the ritual"
24x9Oe,"It tastes good, I need the caffeine, I need the ritual"
KMBrO8,It tastes good
WApa1v,"I need the caffeine, It tastes good"
bl41gL,I need the caffeine
EPbovB,I need the caffeine
ylq8e8,"I need the ritual, I need the caffeine, It tastes good"
24x9ZL,"It tastes good, I need the ritual"
MAdjGM,"It tastes good, I need the ritual"
24x9Zj,"It tastes good, I need the ritual"
rlr8kR,"I need the caffeine, It tastes good, I need the ritual, It makes me go to the bathroom"
g5N8pl,"It tastes good, I need the caffeine, It makes me go to the bathroom"
rlr8qN,It tastes good
ylq87g,It tastes good
GrBO7Z,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom"
NAB2Rj,"It tastes good, I need the ritual"
RzBqkj,It tastes good
xdN86r,"It tastes good, I need the caffeine, I need the ritual"
9dJArQ,I need the caffeine
EPboa4,It tastes good
WApaQN,"It tastes good, It makes me go to the bathroom, I need the caffeine, I need the ritual"
42NlN5,"It tastes good, I need the ritual"
AlbM50,"It tastes good, I need the caffeine, It makes me go to the bathroom"
QABNap,"I need the caffeine, I need the ritual, It tastes good"
dY2Jkd,It tastes good
RzBqr9,It tastes good
lNl89W,"I need the caffeine, I need the ritual, It makes me go to the bathroom, It tastes good"
PABZGB,"I need the caffeine, I need the ritual, It makes me go to the bathroom"
RzBqjj,"I need the ritual, It tastes good"
LdM4ov,"It tastes good, I need the ritual"
GrBO5k,"It tastes good, I need the ritual"
ZdRbWo,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom"
AlbMQD,"It tastes good, I need the ritual"
42NlqX,"It tastes good, I need the ritual"
24x9D9,"It tastes good, I need the ritual"
oAV81V,"I need the caffeine, It tastes good"
QABNE7,"It tastes good, I need the caffeine, I need the ritual"
6dQ6QN,"It tastes good, I need the caffeine"
KMBrkV,It tastes good
g5N8NJ,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom"
aBrpab,"I need the caffeine, It makes me go to the bathroom, It tastes good"
OABxVR,
aBrpPq,
bl41vZ,"I need the caffeine, It tastes good"
oAV8kO,
qbE8NG,"It tastes good, I need the caffeine"
eBxgoe,"It tastes good, I need the ritual, It makes me go to the bathroom"
aBrpkB,"I need the caffeine, It tastes good, I need the ritual"
vNx8g0,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom"
NAB2Ol,"I need the caffeine, It tastes good"
GrBObk,"It tastes good, I need the ritual, I need the caffeine"
kYR8x1,"It tastes good, I need the caffeine, I need the ritual"
g5N8z4,"It tastes good, I need the caffeine"
lNl8zv,"It tastes good, I need the caffeine, I need the ritual"
jB98z4,"It tastes good, I need the ritual"
RzBqVj,It tastes good
BGbJ6Q,"It tastes good, I need the ritual"
5dqagd,
QABN8Y,It tastes good
24x9o9,"It tastes good, I need the ritual"
BGbJ9Q,"It tastes good, I need the caffeine"
PABZrV,It tastes good
lNl84k,"It tastes good, I need the ritual"
rlr8YR,"It tastes good, I need the caffeine, I need the ritual"
zKQ8L0,"It tastes good, I need the ritual, It makes me go to the bathroom, I need the caffeine"
NAB2El,"I need the caffeine, I need the ritual, It tastes good"
9dJAMV,"It tastes good, I need the ritual"
YZz79J,"It tastes good, I need the caffeine"
5dqaod,"I need the ritual, I need the caffeine, It tastes good, It makes me go to the bathroom"
GrBOgp,"It tastes good, I need the ritual"
dY2Jgo,"It tastes good, I need the caffeine"
AlbMAe,It tastes good
XeB6d4,"It tastes good, I need the caffeine"
QABNX8,It tastes good
1r2QBp,"It tastes good, I need the ritual"
VZ1WY6,"It tastes good, I need the ritual"
LdM4Vv,It tastes good
6dQ6MJ,"It tastes good, I need the caffeine, I need the ritual"
oAV8vx,"It tastes good, I need the caffeine, I need the ritual"
oAV8gP,"It tastes good, I need the caffeine"
EPboJ2,"It tastes good, I need the ritual, It makes me go to the bathroom, Other"
MAdjVA,"It tastes good, I need the caffeine"
EPboEX,"It tastes good, I need the caffeine"
6dQ64k,"It tastes good, I need the caffeine"
NAB240,It tastes good
pLPYzB,It tastes good
OABxEg,It tastes good
NAB2gB,"It tastes good, I need the ritual"
vNx8vQ,"It tastes good, I need the caffeine, I need the ritual"
LdM4yj,
qbE8k9,"I need the caffeine, It tastes good"
qbE8v9,"It tastes good, It makes me go to the bathroom"
dY2J8d,It tastes good
jB98Yx,I need the caffeine
rlr8gN,"It tastes good, I need the ritual, It makes me go to the bathroom"
XeB6Ng,"It tastes good, I need the ritual"
OABx97,"I need the caffeine, It tastes good"
42NlEX,"It tastes good, I need the ritual"
LdM4al,It tastes good
ZdRbDB,It tastes good
6dQ6Vk,It tastes good
8dpbVx,"It tastes good, I need the caffeine"
6dQ65P,"It tastes good, I need the caffeine, I need the ritual"
1r2Q6l,"It tastes good, I need the caffeine, I need the ritual"
7d97MR,"It tastes good, I need the caffeine"
ylq8GB,"It tastes good, I need the ritual, It makes me go to the bathroom"
kYR8p1,"It tastes good, I need the ritual"
8dpbgx,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom"
VZ1Wqg,"It tastes good, I need the caffeine, I need the ritual"
WApaBa,"It tastes good, I need the caffeine, I need the ritual, Other"
dY2J1q,"It tastes good, I need the ritual"
vNx8W0,It tastes good
5dqaOo,"It tastes good, I need the caffeine"
QABNWp,"It tastes good, I need the ritual"
ZdRbQo,"It tastes good, I need the ritual"
NAB2yB,It tastes good
oAV81e,I need the ritual
PABZYx,"It tastes good, I need the caffeine"
PABZWb,"It tastes good, I need the caffeine, I need the ritual"
XeB6v4,"It tastes good, I need the ritual"
9dJAxQ,"It tastes good, I need the caffeine"
DVvRE5,"It tastes good, I need the ritual"
lNl87X,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom"
eBxgye,"It tastes good, I need the caffeine, I need the ritual"
aBrpgq,"It tastes good, I need the caffeine"
OABxrR,"I need the caffeine, It tastes good, I need the ritual"
WApajv,
1r2QxQ,It tastes good
AlbM9z,"It tastes good, I need the ritual, I need the caffeine"
8dpbWO,"It tastes good, It makes me go to the bathroom, I need the ritual"
7d97zA,It tastes good
24x9zV,"I need the caffeine, It tastes good"
VZ1W9j,
rlr8YN,"It tastes good, I need the caffeine, I need the ritual"
xdN80d,"It tastes good, I need the caffeine"
1r2QgW,It tastes good
EPbo64,"It tastes good, I need the caffeine, I need the ritual"
qbE877,"I need the ritual, It tastes good"
KMBrGV,"It tastes good, I need the caffeine"
6dQ6WY,"It tastes good, I need the ritual"
EPboA4,I need the ritual
PABZy5,"It tastes good, I need the ritual"
ZdRbgz,"I need the caffeine, It tastes good"
EPbo6r,It tastes good
6dQ6zB,"It tastes good, I need the caffeine, I need the ritual"
LdM4Ey,"It tastes good, I need the ritual"
ylq8gg,"I need the caffeine, It tastes good, I need the ritual"
42NlOY,"It tastes good, I need the ritual"
MAdjPM,"I need the ritual, It tastes good"
8dpb5O,"It tastes good, I need the caffeine, I need the ritual"
1r2QRl,"It tastes good, I need the caffeine, It makes me go to the bathroom"
jB985Q,"It tastes good, I need the caffeine"
J2kEBo,I need the caffeine
eBxgvk,"It tastes good, I need the ritual"
7d97jZ,It tastes good
dY2JzK,"I need the ritual, I need the caffeine, It tastes good, It makes me go to the bathroom"
PABZe5,"It tastes good, I need the caffeine"
J2kEGo,"I need the caffeine, It tastes good"
ylq8zx,"It tastes good, I need the caffeine, I need the ritual"
WApapR,
xdN8z5,"It tastes good, Other"
NAB2dj,It tastes good
ylq81x,It tastes good
vNx8zD,"I need the ritual, Other, It tastes good"
oAV8zP,"It tastes good, I need the caffeine, I need the ritual"
QABNkG,"It tastes good, I need the caffeine"
8dpbDA,
YZz760,
PABZqd,"It tastes good, I need the caffeine"
oAV8LX,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom"
XeB6Pd,"It tastes good, I need the caffeine, I need the ritual"
AlbMRB,"It tastes good, I need the caffeine"
jB98XR,"It tastes good, I need the caffeine"
NAB2Zb,I need the ritual
aBrpMy,"It tastes good, I need the caffeine, I need the ritual"
OABxKK,"It tastes good, I need the caffeine"
pLPYlP,
EPbooq,It tastes good
XeB6je,
PABZq0,"It tastes good, I need the caffeine"
GrBOE2,"It tastes good, I need the caffeine"
pLPYYZ,"It tastes good, I need the ritual, I need the caffeine"
GrBOVj,"It tastes good, I need the caffeine, I need the ritual"
DVvROb,
rlr8Z5,"It tastes good, I need the caffeine"
KMBr2M,"It tastes good, I need the caffeine"
kYR8BJ,"It tastes good, I need the ritual"
aBrpJ9,"It tastes good, I need the ritual"
bl41a0,"I need the ritual, I need the caffeine, It tastes good"
RzBqyp,"I need the ritual, It tastes good"
1r2Q0M,"It tastes good, It makes me go to the bathroom, I need the caffeine"
GrBOO2,It tastes good
jB98V6,"I need the ritual, It tastes good, I need the caffeine"
QABNpg,"It tastes good, I need the caffeine, I need the ritual"
DVvR6j,"It tastes good, I need the ritual"
xdN8q9,"It tastes good, I need the caffeine"
xdN8W9,It tastes good
9dJAzX,
rlr8ep,It tastes good
WApa4L,"It tastes good, I need the ritual"
lNl8pV,"I need the caffeine, I need the ritual, It tastes good"
9dJAbX,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom"
zKQ8A1,"It tastes good, I need the caffeine, I need the ritual"
QABNP1,It tastes good
pLPYEE,It tastes good
GrBOMQ,"I need the caffeine, I need the ritual, It makes me go to the bathroom, It tastes good"
RzBqpQ,It tastes good
24x9MM,It tastes good
7d9rX0,"It tastes good, I need the ritual"
YZz72z,It tastes good
42Nl0b,"It tastes good, It makes me go to the bathroom, I need the ritual, I need the caffeine"
lNl8JX,I need the ritual
xdN8kd,It tastes good
VZ1WWE,"It tastes good, I need the caffeine"
bl4QV6,I need the caffeine
LdM4xG,"I need the ritual, It makes me go to the bathroom, I need the caffeine"
VZ1OLj,"It tastes good, I need the caffeine"
KMBrrk,"I need the ritual, It tastes good"
5dqaWQ,"I need the caffeine, It tastes good, I need the ritual, It makes me go to the bathroom"
NAB22W,"It tastes good, I need the ritual"
eBxWZx,"I need the ritual, It tastes good"
OABxOM,It tastes good
lNl825,"It tastes good, I need the caffeine"
EPboy2,"It tastes good, I need the ritual"
LdM48z,"It tastes good, I need the caffeine, I need the ritual"
KMBKYX,"It tastes good, I need the caffeine"
NAB21W,"I need the ritual, I need the caffeine, It tastes good"
42NlMo,"It tastes good, I need the ritual"
BGbJv4,It tastes good
rlr8No,"It makes me go to the bathroom, It tastes good"
24xGEe,"It tastes good, I need the caffeine, I need the ritual"
lNlkBN,It tastes good
eBxWae,"It tastes good, I need the caffeine, I need the ritual"
WApavR,"It tastes good, I need the caffeine, I need the ritual"
1r2o9p,"It tastes good, I need the ritual, I need the caffeine"
OABM7R,"It tastes good, I need the ritual"
aBrqOX,"It tastes good, I need the caffeine, It makes me go to the bathroom"
qbE1GG,"It tastes good, I need the caffeine, I need the ritual"
8dp4aP,"It tastes good, I need the ritual, I need the caffeine"
0EjR7j,"It tastes good, I need the caffeine"
YZz7EN,"It tastes good, I need the caffeine"
OABxRk,"It tastes good, I need the caffeine, I need the ritual"
AlbMgN,"It tastes good, I need the ritual"
lNlk6k,
OABxWM,"It tastes good, I need the caffeine"
xdN5Yy,"I need the caffeine, It tastes good, I need the ritual"
AlbMYB,"It tastes good, I need the caffeine, It makes me go to the bathroom"
ylq5Jg,It tastes good
VZ1WRj,It tastes good
jB9Ala,"It tastes good, I need the caffeine"
YZzl4B,"It tastes good, I need the caffeine"
J2kvz4,"It tastes good, I need the ritual"
oAV8W5,It tastes good
oAVLGe,"It tastes good, I need the caffeine, I need the ritual"
KMBKlA,It tastes good
6dQEDY,I need the ritual
1r2o7Q,It tastes good
1r2oVQ,"It tastes good, I need the caffeine, I need the ritual"
0EjR8y,"It tastes good, I need the ritual, I need the caffeine"
LdMLzp,"It tastes good, I need the ritual"
LdML7p,"It tastes good, I need the ritual"
jB9Ab4,"It tastes good, I need the caffeine"
aBrq4B,It tastes good
DVv6Nq,It tastes good
DVv6pR,"It tastes good, I need the caffeine"
rlrMON,It tastes good
g5N6Ml,"It tastes good, I need the ritual"
NAB1oB,It tastes good
VZ1Ojy,"It tastes good, I need the caffeine, I need the ritual"
dY2exq,"It tastes good, I need the caffeine"
RzByo9,"It tastes good, I need the ritual"
rlrMoN,
XeBP4g,"I need the caffeine, It tastes good, I need the ritual, It makes me go to the bathroom"
DVv6qN,
vNx5P0,"It tastes good, I need the ritual"
6dQEZk,"It tastes good, Other"
qbE1d7,
bl4QeL,"It tastes good, I need the ritual"
PABJ55,It tastes good
aBrq9b,It tastes good
LdMLPv,"It tastes good, I need the caffeine"
qbE1VY,"It tastes good, I need the caffeine, I need the ritual"
oAVLEx,"It tastes good, It makes me go to the bathroom"
PABJ1V,"It tastes good, I need the caffeine"
0EjR6N,"It tastes good, I need the caffeine, I need the ritual"
BGbW75,It tastes good
8dp4L5,"It tastes good, I need the caffeine, It makes me go to the bathroom"
GrBARZ,"It tastes good, I need the ritual"
rlrMBR,"It tastes good, It makes me go to the bathroom"
J2kEvY,
GrBAve,"It tastes good, I need the ritual"
g5N6qO,"It tastes good, I need the caffeine"
J2kvOo,It tastes good
GrBAlp,"It tastes good, I need the caffeine, I need the ritual"
7d9r2P,"It tastes good, I need the caffeine"
1r2odl,It tastes good
J2kvdR,"It tastes good, I need the ritual, I need the caffeine"
jB9APx,"It tastes good, I need the caffeine, I need the ritual"
DVv6kZ,It tastes good
xdN8Ok,I need the ritual
NAB1qO,"It tastes good, I need the caffeine, I need the ritual"
GrBA9Z,It tastes good
bl4Qdg,"It tastes good, I need the caffeine"
5dqPZo,"It tastes good, I need the caffeine"
J2kEyz,"It tastes good, I need the caffeine, I need the ritual"
jB98j9,"It tastes good, I need the ritual"
DVv67R,"It tastes good, It makes me go to the bathroom"
QABlV8,"It tastes good, I need the ritual, I need the caffeine, It makes me go to the bathroom"
LdMLpj,"It tastes good, I need the ritual"
42NVrX,"It tastes good, I need the caffeine"
VZ1OpM,"It tastes good, I need the ritual, I need the caffeine"
42NlWr,"It tastes good, I need the caffeine"
KMBKV8,"It tastes good, I need the ritual"
aBrq6q,"It tastes good, I need the caffeine, I need the ritual"
oAVLeP,
YZzlPW,"I need the ritual, It tastes good"
zKQ5jM,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom, Other"
XeBPJY,"It tastes good, I need the caffeine, I need the ritual"
kYRB61,"It tastes good, I need the caffeine, I need the ritual"
zKQ5y0,It tastes good
RzBy5d,"It tastes good, I need the caffeine, I need the ritual"
ZdRrNy,"It tastes good, I need the caffeine"
6dQE7B,"It tastes good, I need the caffeine, I need the ritual"
0EjRey,"It tastes good, I need the caffeine, I need the ritual"
QABlDp,"I need the caffeine, It tastes good, I need the ritual"
24xGB9,"I need the caffeine, It tastes good"
EPb7QX,"It tastes good, I need the ritual"
qbE1AY,"It tastes good, I need the ritual, I need the caffeine"
RzByD9,"It tastes good, I need the caffeine"
42NVQY,"It tastes good, It makes me go to the bathroom"
EPb7XX,It tastes good
Albe2z,"It tastes good, I need the caffeine, I need the ritual"
PABJ9V,"It tastes good, I need the caffeine"
rlrM5R,"It tastes good, I need the ritual"
kYR8Pj,"It tastes good, I need the ritual"
J2kvqK,"It tastes good, I need the caffeine"
J2kv1K,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom"
PABJpB,It tastes good
EPb7l4,"I need the ritual, It tastes good"
XeBP0j,It tastes good
vNx5Yv,"It tastes good, I need the ritual, I need the caffeine"
NAB1WB,"It tastes good, I need the caffeine, I need the ritual"
42NV8k,"It tastes good, I need the caffeine, I need the ritual"
VZ1OQg,"It tastes good, I need the ritual, Other"
LdMLWj,"It tastes good, I need the ritual"
LdMLKv,"It tastes good, I need the caffeine, It makes me go to the bathroom"
zKQ5Ya,It makes me go to the bathroom
pLPpoJ,"It tastes good, I need the caffeine"
lNlkqv,"It tastes good, Other"
GrBO2O,"It tastes good, I need the caffeine"
KMBK1A,"I need the caffeine, I need the ritual"
dY2e9o,"It tastes good, I need the ritual"
9dJjQp,"It tastes good, I need the caffeine, I need the ritual"
QABl58,"It tastes good, I need the caffeine, I need the ritual"
BGbWk5,"It tastes good, I need the ritual"
24xGPj,It tastes good
0EjRdB,"It tastes good, I need the caffeine"
RzByPd,"It tastes good, I need the caffeine, I need the ritual"
RzBq9P,It tastes good
PABJ65,"It tastes good, I need the caffeine"
oAVLRP,"It tastes good, I need the ritual"
24xGPL,I need the caffeine
rlr84L,"It tastes good, I need the ritual"
VZ1O0v,"It tastes good, I need the ritual"
8dp4xO,"It tastes good, I need the caffeine"
bl4QWL,"It tastes good, I need the ritual, Other"
qbE1a9,"It tastes good, I need the ritual, I need the caffeine"
