submission_id,purchase
g5NPYO,"Local cafe, Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)"
xdNbxo,
zKQ8ZZ,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop, Local cafe"
rlrQxl,
VZ1W8N,
WAp6PN,"National chain (e.g. Starbucks, Dunkin), Local cafe, Drive-thru"
DVvo9l,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin), Local cafe"
ylqAdB,
rlrQP2,
EPbo0L,"National chain (e.g. Starbucks, Dunkin), Local cafe"
ylqAY6,
AlbR7B,
EPbVxA,
BGboo4,
dY2GGD,"National chain (e.g. Starbucks, Dunkin)"
oAV8o5,
WApa9N,
BGbJE5,
0EjzA9,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)"
vNx6YX,"National chain (e.g. Starbucks, Dunkin), Local cafe"
WApaAQ,
J2krZX,
oAVN6V,
VZ1WVN,
42Nlko,
RzBq4P,
1r2QM4,
LdM4d2,"Drive-thru, National chain (e.g. Starbucks, Dunkin), Specialty coffee shop"
42N0dB,
jB98M9,
1r205O,
5dq0yE,Other
YZzb4N,
QABq7Y,
PABQDd,
9dJY7E,
24xYgM,
KMB25K,
RzBqzP,
GrBEvo,
rlrQrv,Specialty coffee shop
LdMxpz,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop"
ZdRblA,
bl4My7,
XeB72d,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)"
zKQBXq,
rlr9Yv,
dY2GNy,
zKQA18,"National chain (e.g. Starbucks, Dunkin), Drive-thru"
ZdRAAV,"National chain (e.g. Starbucks, Dunkin)"
VZ17Ev,
NAB2Ab,
rlr9yM,
5dqYbv,
AlbRKW,
ylqb6X,
dY2o6d,"National chain (e.g. Starbucks, Dunkin), Local cafe"
dY2oKz,
oAVN61,"Specialty coffee shop, Local cafe, National chain (e.g. Starbucks, Dunkin)"
rlr9yv,
kYR4Nr,"Local cafe, Specialty coffee shop, Other"
zKQ4kq,
RzBeoP,
24xYJL,
ZdRAWA,
rlr9OL,
PABQdQ,"National chain (e.g. Starbucks, Dunkin)"
1r20NQ,
qbEqj2,
g5NV9P,
42NY8Y,
GrBVJp,
7d90RL,
lNl8WV,
vNxaEA,"National chain (e.g. Starbucks, Dunkin)"
0EjY5P,
eBxO5q,
blx47Z,
lNlXyB,
1r2Yx4,
1r20WM,
J2krad,
DVvo05,Drive-thru
VZ1aJj,
42N0ab,
aBrJxZ,
9dJ0qG,
PABN1x,
8dpDDk,
qA2y0O,"Local cafe, Specialty coffee shop"
V0ELg6,
zKQ8Qg,
VZ1WYN,
jB98W1,
24x9Rj,
rlr82o,Specialty coffee shop
QABNj7,
vNx8El,
jB98WY,Specialty coffee shop
LdM4Op,
qbE8gG,
bl41zZ,
xdN8yk,
rlr8LX,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)"
jB98ga,
pLPY01,
GrBODO,
7d97a0,
WApale,
0EjqlN,"National chain (e.g. Starbucks, Dunkin)"
oAV8dN,
0Ejqaj,
5dqaeZ,
g5N8v4,
oAV8lb,
AlbMyz,
jB9871,
9dJA2E,
PABZBx,
DVvRWR,
dY2JDV,
bl41Y1,
rlr8vR,Specialty coffee shop
xdN89d,
kYR8Jo,
YZz7xW,
RzBq29,
24x9DD,
rlr8k2,Drive-thru
7d97ER,
GrBOBO,
42NlPr,"Local cafe, Specialty coffee shop"
XeB6OP,Local cafe
VZ1W4y,
kYR8ve,
YZz7oN,
OABxYM,"National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop"
xdN8lv,
eBxgYk,
RzBqj9,
1r2QGg,
pLPYZJ,
MAdj6k,
OABxER,
BGbJ0K,
qbE8jO,
kYR8ze,
GrBODQ,
vNx8KD,
oAV8VN,
VZ1Wxg,"Specialty coffee shop, Local cafe"
24x9Oe,"Specialty coffee shop, Local cafe"
KMBrO8,
WApa1v,
bl41gL,
EPbovB,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)"
ylq8e8,
24x9ZL,
MAdjGM,
24x9Zj,
rlr8kR,
g5N8pl,
rlr8qN,
ylq87g,
GrBO7Z,
NAB2Rj,
RzBqkj,
xdN86r,
9dJArQ,
EPboa4,
WApaQN,
42NlN5,
AlbM50,Specialty coffee shop
QABNap,Other
dY2Jkd,
RzBqr9,
lNl89W,
PABZGB,"National chain (e.g. Starbucks, Dunkin), Drive-thru, Local cafe, Specialty coffee shop"
RzBqjj,"Local cafe, National chain (e.g. Starbucks, Dunkin)"
LdM4ov,
GrBO5k,
ZdRbWo,
AlbMQD,"Local cafe, National chain (e.g. Starbucks, Dunkin)"
42NlqX,
24x9D9,
oAV81V,
QABNE7,Specialty coffee shop
6dQ6QN,Specialty coffee shop
KMBrkV,
g5N8NJ,
aBrpab,
OABxVR,
aBrpPq,
bl41vZ,
oAV8kO,"National chain (e.g. Starbucks, Dunkin)"
qbE8NG,
eBxgoe,
aBrpkB,Local cafe
vNx8g0,
NAB2Ol,Specialty coffee shop
GrBObk,
kYR8x1,
g5N8z4,
lNl8zv,
jB98z4,
RzBqVj,
BGbJ6Q,
5dqagd,Other
QABN8Y,
24x9o9,
BGbJ9Q,"Local cafe, Deli or supermarket, Specialty coffee shop"
PABZrV,
lNl84k,Local cafe
rlr8YR,
zKQ8L0,
NAB2El,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop, Local cafe"
9dJAMV,
YZz79J,
5dqaod,
GrBOgp,
dY2Jgo,"Other, Deli or supermarket"
AlbMAe,
XeB6d4,
QABNX8,
1r2QBp,
VZ1WY6,
LdM4Vv,
6dQ6MJ,
oAV8vx,
oAV8gP,
EPboJ2,Local cafe
MAdjVA,Specialty coffee shop
EPboEX,
6dQ64k,
NAB240,
pLPYzB,
OABxEg,
NAB2gB,
vNx8vQ,
LdM4yj,
qbE8k9,Specialty coffee shop
qbE8v9,
dY2J8d,
jB98Yx,"National chain (e.g. Starbucks, Dunkin)"
rlr8gN,
XeB6Ng,
OABx97,
42NlEX,
LdM4al,
ZdRbDB,
6dQ6Vk,Local cafe
8dpbVx,
6dQ65P,
1r2Q6l,
7d97MR,"National chain (e.g. Starbucks, Dunkin), Drive-thru"
ylq8GB,
kYR8p1,
8dpbgx,
VZ1Wqg,
WApaBa,
dY2J1q,
vNx8W0,
5dqaOo,
QABNWp,
ZdRbQo,
NAB2yB,
oAV81e,
PABZYx,
PABZWb,
XeB6v4,
9dJAxQ,
DVvRE5,
lNl87X,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)"
eBxgye,
aBrpgq,
OABxrR,
WApajv,
1r2QxQ,
AlbM9z,
8dpbWO,"Specialty coffee shop, Local cafe"
7d97zA,
24x9zV,
VZ1W9j,
rlr8YN,
xdN80d,
1r2QgW,
EPbo64,
qbE877,
KMBrGV,
6dQ6WY,"Local cafe, Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)"
EPboA4,
PABZy5,
ZdRbgz,
EPbo6r,
6dQ6zB,
LdM4Ey,
ylq8gg,
42NlOY,
MAdjPM,
8dpb5O,
1r2QRl,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)"
jB985Q,
J2kEBo,
eBxgvk,
7d97jZ,"Local cafe, Specialty coffee shop"
dY2JzK,Specialty coffee shop
PABZe5,
J2kEGo,
ylq8zx,
WApapR,
xdN8z5,
NAB2dj,
ylq81x,
vNx8zD,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop"
oAV8zP,"Deli or supermarket, Specialty coffee shop"
QABNkG,
8dpbDA,
YZz760,
PABZqd,
oAV8LX,Local cafe
XeB6Pd,
AlbMRB,
jB98XR,
NAB2Zb,
aBrpMy,
OABxKK,"Specialty coffee shop, Local cafe"
pLPYlP,
EPbooq,
XeB6je,
PABZq0,
GrBOE2,Local cafe
pLPYYZ,
GrBOVj,
DVvROb,
rlr8Z5,"Local cafe, Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)"
KMBr2M,
kYR8BJ,
aBrpJ9,
bl41a0,
RzBqyp,
1r2Q0M,
GrBOO2,
jB98V6,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)"
QABNpg,
DVvR6j,
xdN8q9,
xdN8W9,
9dJAzX,
rlr8ep,"Local cafe, Specialty coffee shop"
WApa4L,"National chain (e.g. Starbucks, Dunkin)"
lNl8pV,
9dJAbX,Specialty coffee shop
zKQ8A1,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin), Local cafe"
QABNP1,
pLPYEE,
GrBOMQ,
RzBqpQ,
24x9MM,
7d9rX0,
YZz72z,
42Nl0b,
lNl8JX,
xdN8kd,
VZ1WWE,
bl4QV6,
LdM4xG,
VZ1OLj,
KMBrrk,
5dqaWQ,
NAB22W,
eBxWZx,
OABxOM,
lNl825,
EPboy2,
LdM48z,
KMBKYX,"Specialty coffee shop, Local cafe"
NAB21W,"Deli or supermarket, Local cafe"
42NlMo,
BGbJv4,
rlr8No,
24xGEe,
lNlkBN,
eBxWae,
WApavR,
1r2o9p,
OABM7R,
aBrqOX,
qbE1GG,Specialty coffee shop
8dp4aP,
0EjR7j,
YZz7EN,
OABxRk,"Drive-thru, National chain (e.g. Starbucks, Dunkin), Local cafe"
AlbMgN,
lNlk6k,
OABxWM,"National chain (e.g. Starbucks, Dunkin), Local cafe"
xdN5Yy,
AlbMYB,"Specialty coffee shop, Drive-thru, Local cafe"
ylq5Jg,
VZ1WRj,
jB9Ala,
YZzl4B,
J2kvz4,
oAV8W5,
oAVLGe,Specialty coffee shop
KMBKlA,
6dQEDY,
1r2o7Q,
1r2oVQ,
0EjR8y,
LdMLzp,
LdML7p,
jB9Ab4,
aBrq4B,
DVv6Nq,
DVv6pR,
rlrMON,"National chain (e.g. Starbucks, Dunkin), Local cafe"
g5N6Ml,
NAB1oB,
VZ1Ojy,"National chain (e.g. Starbucks, Dunkin), Local cafe"
dY2exq,
RzByo9,
rlrMoN,
XeBP4g,
DVv6qN,
vNx5P0,
6dQEZk,
qbE1d7,
bl4QeL,
PABJ55,
aBrq9b,
LdMLPv,"Drive-thru, Local cafe, National chain (e.g. Starbucks, Dunkin), Specialty coffee shop"
qbE1VY,
oAVLEx,
PABJ1V,
0EjR6N,
BGbW75,
8dp4L5,
GrBARZ,
rlrMBR,
J2kEvY,
GrBAve,
g5N6qO,"Drive-thru, National chain (e.g. Starbucks, Dunkin)"
J2kvOo,
GrBAlp,
7d9r2P,
1r2odl,
J2kvdR,
jB9APx,
DVv6kZ,Specialty coffee shop
xdN8Ok,"Local cafe, National chain (e.g. Starbucks, Dunkin)"
NAB1qO,
GrBA9Z,
bl4Qdg,
5dqPZo,
J2kEyz,Specialty coffee shop
jB98j9,
DVv67R,Specialty coffee shop
QABlV8,
LdMLpj,
42NVrX,
VZ1OpM,
42NlWr,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop, Local cafe"
KMBKV8,
aBrq6q,
oAVLeP,
YZzlPW,
zKQ5jM,
XeBPJY,
kYRB61,
zKQ5y0,
RzBy5d,
ZdRrNy,
6dQE7B,Specialty coffee shop
0EjRey,Specialty coffee shop
QABlDp,
24xGB9,
EPb7QX,
qbE1AY,
RzByD9,
42NVQY,
EPb7XX,
Albe2z,
PABJ9V,
rlrM5R,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)"
kYR8Pj,
J2kvqK,
J2kv1K,
PABJpB,
EPb7l4,
XeBP0j,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop, Local cafe"
vNx5Yv,
NAB1WB,
42NV8k,
VZ1OQg,
LdMLWj,
LdMLKv,
zKQ5Ya,
pLPpoJ,
lNlkqv,
GrBO2O,
KMBK1A,
dY2e9o,
9dJjQp,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin), Local cafe"
QABl58,
BGbWk5,
24xGPj,
0EjRdB,Local cafe
RzByPd,
RzBq9P,
PABJ65,
oAVLRP,
24xGPL,
rlr84L,
VZ1O0v,
8dp4xO,
bl4QWL,
qbE1a9,
VZ1O5J,Specialty coffee shop
rlrMPl,
EPb7XN,
dY2e0o,
lNlkyB,"Local cafe, National chain (e.g. Starbucks, Dunkin)"
BGbJo7,
xdN5ay,"Local cafe, Drive-thru, Specialty coffee shop, Other, National chain (e.g. Starbucks, Dunkin)"
GrBAdp,
BGbWxQ,
MAdpzp,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)"
RzBy0J,
PABJ1e,
XeBPWj,
g5N6Gl,
jB9AZJ,"Local cafe, National chain (e.g. Starbucks, Dunkin)"
g5N6e4,
0Ejq9Q,
xdN8EG,
zKQ5Da,"National chain (e.g. Starbucks, Dunkin), Local cafe"
xdN5Xv,
24xGAj,
lNl8j5,
YZz7Nv,
VZ1OEj,"Local cafe, Specialty coffee shop, National chain (e.g. Starbucks, Dunkin), Drive-thru"
oAVLAV,
vNx52A,
bl4Qlo,
PABJ0Q,
42NVkO,
9dJjdY,
WApV0J,
1r2oEM,
jB9AME,
GrBAro,
KMBK67,
xdN5QG,
XeBPe4,
8dp4kx,
EPb71N,
qbE1Wd,
eBxWBO,
6dQExe,
24xGrp,
0EjRbQ,"National chain (e.g. Starbucks, Dunkin)"
5dqP2M,
QABlrg,
xdN5Qo,
MAdpJg,
vNx5AQ,
YZzldq,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)"
RzByYp,
zKQ5zq,
5dqPkd,
dY2eZN,
1r2ovO,
PABJB0,Local cafe
AlbeDW,"Local cafe, Specialty coffee shop"
GrBA1o,Specialty coffee shop
6dQE15,
LdMLG1,"Specialty coffee shop, Local cafe"
LdML0G,Local cafe
zKQ5Kq,
J2kvJY,
rlrMVM,
DVv6eb,
5dqPdd,
RzByLl,
5dqPvP,
YZzlV0,
vNx54A,
XeBPG4,
jB9ABE,
PABJ8P,
RzBy4J,
jB9AxR,
dY2eYA,"Local cafe, Drive-thru"
0EjRJ0,
PABJvP,
DVv60p,
rlrMKv,
9dJjJ4,Specialty coffee shop
oAVL0M,
vNx5Od,"Local cafe, Specialty coffee shop"
QABlYA,
24xGkp,
7d9roL,
lNlkNW,
g5N64N,
g5N65d,
7d9rdA,
lNlkL5,
rlrMKM,
0EjRoQ,"Local cafe, National chain (e.g. Starbucks, Dunkin), Specialty coffee shop"
GrBA1j,
qbE1b7,
oAVLVM,
RzByRl,
g5N6QK,Specialty coffee shop
GrBAYz,
QABlBk,
vNx5NQ,
6dQEro,
eBxWNo,
NAB1MN,
dY2eDy,
MAdpvE,
MAdp5Y,
9dJjE1,
PABJ20,
8dp4eA,
DVv65b,
qbE1o8,
OABMBA,
oAVLlM,
5dqPEb,
6dQEOO,
jB9A99,
7d9r46,
qbE1Yk,
pLPpWZ,
VZ1Olv,
OABMJp,
aBrqry,Specialty coffee shop
7d9r9z,
oAVLl5,
aBrqZW,
lNlk06,
ZdRrGv,
xdN5ZG,
lNlkYV,
VZ1OME,
rlrMrL,
42NVAd,
jB9AJ1,
rlrMr5,"Specialty coffee shop, Local cafe, National chain (e.g. Starbucks, Dunkin)"
WApVpQ,
ZdRrvA,
8dp4dx,
vNx5JX,
zKQ5e1,
lNlkKV,
rlrMJX,
8dp4PY,
LdMLaz,
rlrM0L,
PABJBd,
NAB1Rp,
42NV9d,
jB9A76,
OABMLK,
GrBABz,
YZzlY6,
YZzlo0,
g5N671,
qbE1k5,
7d9r16,
24xGkV,
BGbWA4,
rlrMJp,
bl4Qr2,
aBrqDE,
YZzlrq,
VZ1O9l,
EPb7Lo,
jB9A09,
GrBAL2,
EPb7Z2,
EPb7vA,
42NVPo,
g5N6JM,
9dJj2K,
xdN5Rk,"Local cafe, Specialty coffee shop"
24xGvA,"Specialty coffee shop, Local cafe"
AlbeWo,"Local cafe, Specialty coffee shop"
ZdRrza,
qbE1Ek,
1r2oN4,Specialty coffee shop
VZ1ObN,
24xGxA,
pLPpRy,
J2kvk7,
oAVL55,
lNlkWp,
QABl8l,"Specialty coffee shop, Local cafe"
eBxWxo,
eBxW2E,
rlrMd5,
8dp4Ak,
RzByvv,
rlrM2p,
24xG1g,Local cafe
EPb7BL,"Local cafe, Drive-thru, Specialty coffee shop"
eBxWKJ,
zKQ5J8,
ZdRrZ5,
1r2o2L,
xdN599,
YZzlpz,
bl4Q82,
PABJ80,
24xGOb,"Specialty coffee shop, Other, Local cafe"
5dqPGP,
bl4Q4E,"Specialty coffee shop, Local cafe"
KMBKBK,
DVv6Jj,
eBxW7E,
GrBAoz,
EPb70o,
kYRBJd,
J2kv2d,
OABMdk,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)"
LdMLvz,
0EjRv0,"National chain (e.g. Starbucks, Dunkin)"
VZ1OZv,
5dqPLM,
LdMLXG,Specialty coffee shop
RzByZP,
42NVvB,
GrBAqO,"Local cafe, Specialty coffee shop"
BGbWj4,
BGbWB7,
ylq5o6,
J2kvLJ,
42NVjb,
bl4Q2E,
5dqPev,
6dQEvO,
jB9ALR,"Local cafe, Specialty coffee shop"
9dJjpK,
LdMLE2,
xdN54E,
J2kvV7,
8dp46k,
1r2oD4,
bl4QK0,
DVv6AX,
QABlxk,"National chain (e.g. Starbucks, Dunkin), Drive-thru, Local cafe"
aBrqjy,
XeBP1e,
qbE1P2,
9dJjlG,
WApVPJ,"Local cafe, National chain (e.g. Starbucks, Dunkin), Specialty coffee shop"
jB9A5Y,
OABMjA,Specialty coffee shop
DVv6V5,
XeBPMd,
6dQEAo,
jB9AG9,Specialty coffee shop
pLPpVV,
rlrMYo,
5dqPpQ,
rlrMbN,
zKQ51g,
7d9rp2,
5dqPMQ,
9dJjrE,
MAdp78,
kYRBpo,"National chain (e.g. Starbucks, Dunkin)"
pLPpz1,
KMBKgX,
QABlk1,
XeBPzz,
8dp4gP,
PABJ41,
QABlO1,
RzByjK,
kYRBrr,
PABJGx,
vNx5gl,
eBxWzx,
WApVZe,Specialty coffee shop
Albeae,
lNlkMX,
OABMVa,
XeBP2z,
eBxWpl,
EPb7gB,
RzBy2K,
1r2oBg,
GrBAjZ,
KMBKaD,
ZdRrQV,
1r2oRg,
kYRBkZ,
oAVLzb,
aBrqzZ,
rlrMvX,
EPb76l,
24xGDM,
7d9rPa,
DVv69R,
42NVdA,
g5N6OP,
J2kvZR,
RzBylj,"National chain (e.g. Starbucks, Dunkin), Local cafe"
qbE1zO,
jB9AEQ,
xdN5ov,
9dJja5,
EPb7N2,
kYRBQe,
24xGVD,
VZ1O46,
PABJee,
eBxWYQ,
qbE1NO,
oAVLaP,
LdMLgl,
ylq5zd,
NAB1EO,
7d9rj0,
ZdRrKB,
xdN56d,
rlrMg2,
qbE1pg,
pLPpXJ,
xdN5vk,Other
vNx5a0,
LdML6J,
bl4QML,
6dQEyJ,
xdN5L5,
OABMra,
jB9AgQ,
EPb7AB,"National chain (e.g. Starbucks, Dunkin)"
GrBAQO,
lNlk9v,
eBxWox,
VZ1OyM,
KMBKNV,
OABMyY,
WApVjR,
OABMKR,
YZzlyW,
BGbWVK,"National chain (e.g. Starbucks, Dunkin), Local cafe"
XeBPyL,Specialty coffee shop
VZ1OBg,
1r2ox1,"Local cafe, National chain (e.g. Starbucks, Dunkin)"
LdMLVl,
oAVLQO,
pLPpNJ,
eBxWPk,
VZ1Oxj,
zKQ54R,
Albeyl,
eBxWyl,
rlrM1R,
24xGZD,
VZ1Oyy,
XeBPdg,
rlrMRN,
6dQEGk,
EPb7YB,
7d9rEa,
ylq5Rx,Specialty coffee shop
MAdpgk,
g5N6vJ,
0EjRlB,
9dJjPQ,
AlbeND,
OABMkM,
zKQ5dk,
7d9rgR,
vNx5pl,
EPb7e4,
DVv6PZ,
MAdpPk,
ylq5rg,
24xG7M,"Specialty coffee shop, Local cafe"
bl4Qz6,
6dQE9Y,Local cafe
eBxWvQ,Local cafe
ZdRrXo,
24xGy9,Specialty coffee shop
xdN57r,
lNlkXk,
9dJjyV,
RzBy19,
J2kvgK,
J2kvbo,
DVv6ZE,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin), Local cafe"
aBrq1B,
XeBPvY,
ZdRrAo,
NAB1O0,
J2kvBr,
ylq5px,
KMBKRg,
OABMyg,
oAVLax,
VZ1OXg,
WApVdv,
aBrqXB,
EPb7rr,"Local cafe, National chain (e.g. Starbucks, Dunkin)"
NAB1gO,
XeBPkY,"Specialty coffee shop, Local cafe"
vNx5Wg,Specialty coffee shop
LdMLOy,
aBrqa2,
WApVXN,
OABMeg,Specialty coffee shop
NAB1xl,
dY2ekV,
LdMLBv,"National chain (e.g. Starbucks, Dunkin)"
Albe0e,
eBxW8e,
8dp4V5,
1r2ozp,
DVv6al,
QABl4Y,
DVv6EZ,
J2kvxR,
eBxWGe,
KMBKA8,
DVv6Wl,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)"
QABlyG,
pLPp58,
VZ1Oqj,
XeBPNP,
jB9Aq4,
qbE1M9,
5dqPON,
rlrMW2,
dY2ezr,"National chain (e.g. Starbucks, Dunkin)"
oAVLgb,
GrBAaZ,
7d9rOZ,
kYRB1e,
24xGzj,
XeBPQP,
9dJj4E,"Local cafe, Drive-thru, Specialty coffee shop"
MAdpqA,
AlbeOz,
NAB1Qj,
GrBA5O,
24xGYj,Specialty coffee shop
kYRBXR,
WApV6N,"National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop"
dY2eXo,
QABlp7,
ylq5GX,
EPb7Al,
42NVEA,
aBrqgb,
42NVYX,
oAVL1x,
KMBKZV,
1r2oyl,
42NVEr,
g5N614,
0EjRyj,"Specialty coffee shop, Local cafe, National chain (e.g. Starbucks, Dunkin)"
6dQEzJ,
jB9Ara,
dY2e4K,
zKQ5vM,
YZzlgW,
pLPpZ1,
J2kvro,
xdN5B5,
rlrMp2,
QABlWG,
vNx5d4,
jB9AzQ,"Local cafe, Specialty coffee shop"
MAdp2M,"Local cafe, Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)"
7d9rYZ,
g5N6XO,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop"
PABJr1,
RzByg4,
MAdpGl,
g5N6rD,
RzByaj,
PABJLV,
GrBA4k,"National chain (e.g. Starbucks, Dunkin), Local cafe"
zKQ5o0,
dY2eyA,
GrBAOp,
qbE1QY,
9dJj0p,
EPb77N,
YZzlbB,
Albeek,
WApV7a,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop"
kYRBPM,
GrBAAo,
rlrMMl,"Local cafe, Specialty coffee shop"
VZ1Oag,
5dqPa6,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop"
J2kvj4,
XeBPAj,"National chain (e.g. Starbucks, Dunkin)"
24xGdL,
qbE117,
42NVVk,
5dqPYo,
J2kv4d,
EPb7VX,
LdMLxj,"Specialty coffee shop, Deli or supermarket, Local cafe"
1r2o0Q,
bl4QJo,
42NV6b,
aBrqJv,
OABMM7,
42NVMb,
WApVaj,
RzByQ9,"Local cafe, Specialty coffee shop"
OABMM8,
42NVlk,
XeBP6j,
WApVLJ,
eBxWWO,
PABJqb,"National chain (e.g. Starbucks, Dunkin)"
6dQEBB,
GrBAEp,
xdN5qo,
g5N6VO,
eBxWXO,
KMBKj7,
5dqP06,Deli or supermarket
zKQ58a,
EPb7RN,
DVv685,
RzByed,
oAVLjV,
dY2ery,
pLPp2b,
QABlN8,
GrBAZj,
YZzl75,
ylq58B,
ylq5AB,
AlbeR0,
dY2eoo,
YZzlAd,
NAB1NB,
aBrqR9,
LdMLr1,"Specialty coffee shop, Local cafe"
zKQ5k1,
42NVbO,
oAVLJ1,
jB9AN6,
qbE1l7,
42NV0X,
7d9rrA,
5dqPNM,
ZdRrbz,
vNx5RA,Deli or supermarket
0EjRqN,
vNx59Q,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop"
EPb72o,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop, Local cafe"
dY2eJq,
g5N6od,
PABJxb,Local cafe
6dQEEB,
6dQE6P,"Deli or supermarket, Specialty coffee shop"
pLPpYq,
RzByyJ,
XeBP7g,
rlrM8l,Local cafe
RzByqd,
9dJjKY,
RzByNl,
VZ1O7J,
vNx5kd,
8dp4DO,
7d9rkA,"Local cafe, National chain (e.g. Starbucks, Dunkin)"
GrBAAp,
rlrMQN,
GrBAW2,
6dQEqe,
RzBypp,
zKQ5AR,
eBxWg0,
jB9AAx,
oAVLLV,
YZzl6d,"Local cafe, Specialty coffee shop"
g5N6EN,
xdN5AG,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)"
lNlkp5,
ZdRrBy,
YZzl2q,"National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop"
rlrM75,
